Datum,Umsatz,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6,Temp_Very_Cold,Temp_Cold,Temp_Mild,Temp_Warm,Temp_Hot,Cloud_Clear,Cloud_Partly_Cloudy,Cloud_Cloudy,Wind_Light,Wind_Moderate,Wind_Strong,Weather_Good,Weather_Light_Issues,Weather_Moderate,Weather_Severe,KielerWoche,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,VPI,Number_of_ships,Ship,Heimspiel,Feiertag,is_holiday,Weihnachtsmarkt,Markt,Ostertag,Silvester,wetter_sehr_schön,wetter_sehr_schlecht
2017-08-01,166.135486122073,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-02,155.022099183108,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-03,159.5753401745,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,1
2017-08-04,161.585238563032,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-05,198.088094187281,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.695,0.0,0,0,0,1,0,0,0,0,0,1
2017-08-06,72.3122759066064,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.695,1.0,1,0,0,1,0,0,0,0,0,0
2017-08-07,172.028528903065,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.695,2.0,1,0,0,1,0,0,0,0,0,0
2017-08-08,137.161092618244,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-09,138.409853223588,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.695,1.0,1,0,0,1,0,0,0,0,1,0
2017-08-10,144.270402110132,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.695,0.0,0,0,0,1,0,0,0,0,0,0
2017-08-11,180.959666237058,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.695,0.0,0,1,0,1,0,0,0,0,0,0
2017-08-12,150.572600694148,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.695,0.0,0,0,0,1,0,0,0,0,0,1
2017-08-13,80.2751371635464,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.695,2.0,1,0,0,1,0,0,0,0,0,0
