Arival_date,Number_of_ships,Ship
2012-01-07,2,True
2012-01-09,2,True
2012-02-05,1,True
2012-02-06,2,True
2012-02-07,1,True
2012-02-08,1,True
2012-02-09,1,True
2012-02-12,1,True
2012-03-05,1,True
2012-03-06,2,True
2012-03-07,1,True
2012-03-09,2,True
2012-03-31,1,True
2012-04-06,2,True
2012-04-08,2,True
2012-04-09,2,True
2012-04-14,1,True
2012-04-21,1,True
2012-04-28,2,True
2012-05-05,2,True
2012-05-06,1,True
2012-05-07,1,True
2012-05-08,1,True
2012-05-09,1,True
2012-05-14,1,True
2012-05-15,2,True
2012-05-17,1,True
2012-05-19,3,True
2012-05-20,1,True
2012-05-22,1,True
2012-05-23,1,True
2012-05-24,1,True
2012-05-25,1,True
2012-05-26,3,True
2012-05-30,1,True
2012-06-05,1,True
2012-06-10,1,True
2012-06-15,1,True
2012-06-16,1,True
2012-06-17,3,True
2012-06-19,1,True
2012-06-20,1,True
2012-06-22,3,True
2012-06-23,3,True
2012-06-24,1,True
2012-06-26,1,True
2012-06-29,1,True
2012-06-30,1,True
2012-07-04,1,True
2012-07-05,2,True
2012-07-06,1,True
2012-07-07,1,True
2012-07-08,2,True
2012-07-13,1,True
2012-07-14,1,True
2012-07-15,1,True
2012-07-20,1,True
2012-07-21,2,True
2012-07-22,1,True
2012-07-23,2,True
2012-07-24,1,True
2012-07-27,2,True
2012-07-28,1,True
2012-07-29,1,True
2012-08-07,1,True
2012-08-09,3,True
2012-08-13,1,True
2012-08-14,2,True
2012-08-16,1,True
2012-08-17,1,True
2012-08-18,1,True
2012-08-22,1,True
2012-08-24,2,True
2012-08-25,1,True
2012-08-26,2,True
2012-08-27,2,True
2012-08-28,1,True
2012-08-31,2,True
2012-09-06,2,True
2012-09-07,1,True
2012-09-09,1,True
2012-09-10,1,True
2012-09-14,2,True
2012-09-15,1,True
2012-09-16,1,True
2012-09-19,1,True
2012-09-21,1,True
2012-09-22,1,True
2012-09-29,1,True
2012-10-05,1,True
2012-10-07,2,True
2012-10-08,1,True
2012-11-08,1,True
2012-12-05,2,True
2012-12-08,2,True
2012-12-15,1,True
2013-01-05,2,True
2013-01-06,2,True
2013-01-09,1,True
2013-02-06,1,True
2013-02-07,1,True
2013-02-08,1,True
2013-02-10,1,True
2013-03-06,2,True
2013-03-08,1,True
2013-03-09,1,True
2013-04-05,1,True
2013-04-06,1,True
2013-04-07,1,True
2013-04-08,1,True
2013-04-09,1,True
2013-04-12,1,True
2013-04-13,1,True
2013-04-17,1,True
2013-04-20,1,True
2013-04-23,1,True
2013-04-24,1,True
2013-04-25,1,True
2013-04-27,1,True
2013-04-28,1,True
2013-04-30,1,True
2013-05-05,2,True
2013-05-08,1,True
2013-05-13,1,True
2013-05-16,1,True
2013-05-18,2,True
2013-05-19,1,True
2013-05-23,1,True
2013-05-25,2,True
2013-05-26,1,True
2013-05-28,1,True
2013-05-29,2,True
2013-05-30,1,True
2013-05-31,1,True
2013-06-07,1,True
2013-06-13,1,True
2013-06-15,3,True
2013-06-16,2,True
2013-06-19,1,True
2013-06-20,1,True
2013-06-22,1,True
2013-06-23,1,True
2013-06-24,1,True
2013-06-27,1,True
2013-06-28,2,True
2013-06-29,4,True
2013-06-30,2,True
2013-07-05,1,True
2013-07-07,1,True
2013-07-09,3,True
2013-07-13,2,True
2013-07-14,2,True
2013-07-17,1,True
2013-07-18,1,True
2013-07-19,2,True
2013-07-20,1,True
2013-07-21,2,True
2013-07-22,2,True
2013-07-24,1,True
2013-07-27,1,True
2013-07-28,1,True
2013-08-06,3,True
2013-08-09,1,True
2013-08-15,1,True
2013-08-17,1,True
2013-08-18,1,True
2013-08-21,1,True
2013-08-22,1,True
2013-08-24,2,True
2013-08-25,2,True
