Datum,VPI
2013-07-01,0.931
2013-07-02,0.931
2013-07-03,0.931
2013-07-04,0.931
2013-07-05,0.931
2013-07-06,0.931
2013-07-07,0.931
2013-07-08,0.931
2013-07-09,0.931
2013-07-10,0.931
2013-07-11,0.931
2013-07-12,0.931
2013-07-13,0.931
2013-07-14,0.931
2013-07-15,0.931
2013-07-16,0.931
2013-07-17,0.931
2013-07-18,0.931
2013-07-19,0.931
2013-07-20,0.931
2013-07-21,0.931
2013-07-22,0.931
2013-07-23,0.931
2013-07-24,0.931
2013-07-25,0.931
2013-07-26,0.931
2013-07-27,0.931
2013-07-28,0.931
2013-07-29,0.931
2013-07-30,0.931
2013-07-31,0.931
2013-08-01,0.931
2013-08-02,0.931
2013-08-03,0.931
2013-08-04,0.931
2013-08-05,0.931
2013-08-06,0.931
2013-08-07,0.931
2013-08-08,0.931
2013-08-09,0.931
2013-08-10,0.931
2013-08-11,0.931
2013-08-12,0.931
2013-08-13,0.931
2013-08-14,0.931
2013-08-15,0.931
2013-08-16,0.931
2013-08-17,0.931
2013-08-18,0.931
2013-08-19,0.931
2013-08-20,0.931
2013-08-21,0.931
2013-08-22,0.931
2013-08-23,0.931
2013-08-24,0.931
2013-08-25,0.931
2013-08-26,0.931
2013-08-27,0.931
2013-08-28,0.931
2013-08-29,0.931
2013-08-30,0.931
2013-08-31,0.931
2013-09-01,0.931
2013-09-02,0.931
2013-09-03,0.931
2013-09-04,0.931
2013-09-05,0.931
2013-09-06,0.931
2013-09-07,0.931
2013-09-08,0.931
2013-09-09,0.931
2013-09-10,0.931
2013-09-11,0.931
2013-09-12,0.931
2013-09-13,0.931
2013-09-14,0.931
2013-09-15,0.931
2013-09-16,0.931
2013-09-17,0.931
2013-09-18,0.931
2013-09-19,0.931
2013-09-20,0.931
2013-09-21,0.931
2013-09-22,0.931
2013-09-23,0.931
2013-09-24,0.931
2013-09-25,0.931
2013-09-26,0.931
2013-09-27,0.931
2013-09-28,0.931
2013-09-29,0.931
2013-09-30,0.931
2013-10-01,0.929
2013-10-02,0.929
2013-10-03,0.929
2013-10-04,0.929
2013-10-05,0.929
2013-10-06,0.929
