,Datum,Temp_Very Cold,Temp_Cold,Temp_Mild,Temp_Warm,Temp_Hot,Cloud_Clear,Cloud_Partly Cloudy,Cloud_Cloudy,Wind_Light,Wind_Moderate,Wind_Strong,Weather_Good,Weather_Light Issues,Weather_Moderate,Weather_Severe,Weather_Unknown
0,2012-01-01,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,2012-01-02,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
2,2012-01-03,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
3,2012-01-04,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
4,2012-01-05,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
5,2012-01-06,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
6,2012-01-07,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
7,2012-01-08,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
8,2012-01-09,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
9,2012-01-10,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
10,2012-01-11,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
11,2012-01-12,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
12,2012-01-13,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
13,2012-01-14,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
14,2012-01-15,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
15,2012-01-16,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
16,2012-01-17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
17,2012-01-18,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
18,2012-01-19,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
19,2012-01-20,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
20,2012-01-21,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
21,2012-01-22,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
22,2012-01-23,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
23,2012-01-24,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
24,2012-01-25,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
25,2012-01-26,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
