date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2013-07-01,15.2,12.3,18.2,,,,24.1,49.7,1011.1,438
2013-07-02,15,11.6,18.8,,,,17.6,37.4,1011.7,516
2013-07-03,17,14.4,22,,,,21.2,39.6,1007.2,84
2013-07-04,16.8,14.5,19.4,,,,14,31,1015.8,54
2013-07-05,16.8,12.7,22.9,,,,24.1,37.4,1024.1,600
2013-07-06,17,11.9,23.9,,,,10.4,31,1029.1,954
2013-07-07,19.5,14.8,24.9,,,,7.9,27.7,1029.8,906
2013-07-08,19.1,14.8,26,,,,12.2,24.1,1028.5,888
2013-07-09,20.1,14.8,25.9,,,,13,38.9,1022.3,894
2013-07-10,17.1,13.3,21.4,,,,27,56.2,1016.2,720
2013-07-11,17.7,12.6,22.4,,,,23.4,38.2,1017,870
2013-07-12,16.6,12.2,23.4,,,,19.8,34.9,1018.5,828
2013-07-13,16,12.3,20.8,,,,25.2,43.9,1018.6,504
2013-07-14,15.7,13.1,18.2,,,,33.8,50.8,1018,300
2013-07-15,16.1,12.9,19.5,,,,27.7,41.4,1018.9,624
2013-07-16,17.5,13.9,22,,,,23,34.6,1020.2,588
2013-07-17,19.4,13.9,26.4,,,,15.8,29.2,1021.4,708
2013-07-18,20.1,15.3,29.3,,,,17.3,45.4,1021.8,906
2013-07-19,18.7,15.5,23.5,,,,30.6,55.1,1018.4,510
2013-07-20,21.2,15.3,26.7,,,,9.4,22.3,1020.5,948
2013-07-21,21.8,17.5,29.1,,,,9.4,22.3,1019.7,948
2013-07-22,22.6,18.2,27.6,,,,7.2,16.9,1016.1,936
2013-07-23,20.5,18.4,22.3,,,,24.5,48.2,1014,918
2013-07-24,19.9,16.1,21.9,,,,23,40.7,1013.2,600
2013-07-25,20.2,17.6,22.9,,,,14,29.9,1012.9,582
2013-07-26,21.5,18.4,23.8,,,,16.6,34.2,1011.7,396
2013-07-27,22.2,17.3,28.5,,,,16.2,87.5,1008,552
2013-07-28,21.7,18,25.5,,,,27.4,51.1,1006.5,456
2013-07-29,20.8,17.2,25.7,,,,11.9,36.4,1011.5,498
2013-07-30,18.8,14.5,21.9,,,,29.5,54.7,1010.4,522
2013-07-31,17.8,14.3,21.3,,,,27,53.6,1010.6,582
2013-08-01,19.9,15.3,26.5,,,,18.4,31.7,1013.3,240
2013-08-02,23.1,20.3,25.7,,,,27,49.7,1010.6,900
2013-08-03,22.1,16.9,26.2,,,,25.9,62.6,1012.6,444
2013-08-04,20,15.8,28.3,,,,13.3,24.5,1019,678
2013-08-05,21.6,18.2,25.5,,,,28.4,55.4,1015.6,732
2013-08-06,20.4,16.5,24,,,,33.1,53.6,1010.6,600
2013-08-07,18.9,15.8,23.2,,,,20.2,44.6,1012,504
2013-08-08,17.7,14.7,20.3,,,,30.6,52.6,1010.4,54
2013-08-09,18.6,15,22.5,,,,18.4,42.1,1016.3,774
2013-08-10,18,15.1,21,,,,25.6,51.1,1013.3,210
2013-08-11,15.4,12.8,18.3,,,,29.5,61.9,1011.4,168
2013-08-12,15.3,11.2,17.8,,,,32,60.8,1008.9,252
2013-08-13,15.1,11.1,18.5,,,,35.6,82.8,1009.3,594
2013-08-14,16.1,13.6,19,,,,36.7,56.9,1015.5,654
2013-08-15,16.9,12.4,20.7,,,,20.9,44.6,1017.9,516
2013-08-16,19.4,15.6,25.1,,,,27.4,56.9,1013.8,288
2013-08-17,18.5,14.8,22.7,,,,18.7,33.1,1010.9,288
2013-08-18,18.1,14.9,20.3,,,,30.2,59,1007,66
2013-08-19,17.1,14,20.6,,,,14.4,39.2,1013.5,318
2013-08-20,16.7,14.3,21.2,,,,19.1,40,1022.9,288
2013-08-21,17.8,13.7,25.5,,,,13.3,24.8,1022.8,600
2013-08-22,18.9,16,23.3,,,,15.5,30.2,1019.4,432
2013-08-23,18.7,16.6,20.7,,,,34.9,64.8,1019.1,792
2013-08-24,17.6,15.8,19.6,,,,47.9,63,1015.7,798
2013-08-25,18.2,16.8,20.1,,,,45,59.4,1015.2,810
2013-08-26,17.8,16.2,19.6,,,,39.2,50.4,1018.7,816
2013-08-27,18.1,15.9,20.8,,,,23.4,35.3,1016.9,774
2013-08-28,19.5,15.2,25.8,,,,10.4,33.1,1017.3,684
2013-08-29,17.3,13.9,22.1,,,,16.9,37.8,1017.9,486
2013-08-30,17.3,14.1,21,,,,20.2,41,1015,54
2013-08-31,16.8,13.2,19.7,,,,31,58,1014,240
2013-09-01,14.5,11.9,17.1,,,,37.1,74.2,1016.4,222
2013-09-02,15.3,12.1,17.7,,,,42.5,65.5,1011.4,0
2013-09-03,16.6,14.3,18.4,,,,23.8,45.4,1020.5,6
2013-09-04,16,13.9,20,,,,14.4,30.2,1022.3,102
2013-09-05,17.6,15.6,19.7,,,,31,45,1016.2,702
2013-09-06,19.2,16.2,23.1,,,,33.5,52.2,1010.4,762
2013-09-07,18.6,16.6,20.8,,,,29.5,47.5,1014.9,414
2013-09-08,17.2,14.4,21.3,,,,34.9,54.7,1014.8,84
2013-09-09,12.5,9.9,15.1,,,,27.7,52.6,1011.8,0
2013-09-10,13,10.2,14.7,,,,20.9,51.8,1007.7,258
2013-09-11,13.8,11.7,16.1,,,,17.6,36,1008.1,150
2013-09-12,15.8,13.1,23,,,,7.9,24.5,1012.1,270
2013-09-13,16.1,13.2,21.7,,,,9.7,17.3,1014.6,408
2013-09-14,15.8,13.3,19.9,,,,23.8,48.2,1008.7,330
2013-09-15,,,,,,,,,,
2013-09-16,,,,,,,,,,
2013-09-17,,,,,,,,,,
2013-09-18,,,,,,,,,,
2013-09-19,,,,,,,,,,
2013-09-20,,,,,,,,,,
2013-09-21,,,,,,,,,,
2013-09-22,,,,,,,,,,
2013-09-23,,,,,,,,,,
2013-09-24,14.1,12.5,15.9,,,,,41.4,,126
2013-09-25,12,8.7,13.3,,,,24.1,59.8,1011.1,18
2013-09-26,11.4,8.3,14,,,,28.4,73.1,1013.1,540
2013-09-27,12,10.4,14.7,,,,22.7,42.1,1015.5,240
2013-09-28,12,10.4,13.5,,,,19.8,38.2,1015.3,516
2013-09-29,12.4,10.6,13.6,,,,39.2,59,1017.1,546
2013-09-30,11.9,10.4,12.9,,,,41.4,62.6,1016.1,546
2013-10-01,11.8,10.7,12.6,,,,33.8,51.8,1018.1,516
2013-10-02,11.1,8.7,12.4,,,,36.4,61.2,1023.4,624
2013-10-03,9.5,6.6,12.5,,,,43.9,64.1,1023.1,606
2013-10-04,9.9,6.5,12.5,,,,38.5,61.9,1015.8,198
2013-10-05,13.4,10.8,16.3,,,,23,40,1014,84
2013-10-06,12.9,10.9,15.3,,,,15.1,26.3,1021,144
2013-10-07,13.3,10.4,16.7,,,,19.1,29.2,1023.2,606
2013-10-08,13.1,10.5,15.6,,,,19.8,35.3,1020.4,138
2013-10-09,13.2,10,15,,,,29.9,52.9,1009,12
2013-10-10,10.2,8.5,12.4,,,,24.5,47.2,1004.7,306
2013-10-11,13,12,14.2,,,,51.5,80.3,1017.7,222
2013-10-12,12.8,11.6,13.4,,,,62.6,87.1,1018.3,0
2013-10-13,10.6,8.3,12.4,,,,22.3,60.1,1016,282
2013-10-14,10.2,7.8,12.9,,,,23,38.2,1014.9,480
2013-10-15,10.7,9.5,12.2,,,,23.4,44.6,1004.8,0
2013-10-16,11.3,9.4,13.2,,,,22.3,42.8,1008.2,18
2013-10-17,11.3,9.6,12.9,,,,39.6,72.4,1000.6,12
2013-10-18,9.4,7.9,11.4,,,,24.8,61.2,1014.5,456
2013-10-19,8.6,6.1,10.7,,,,31.7,50,1011.4,12
2013-10-20,13.7,10.1,15.2,,,,24.8,50.4,1006.8,12
2013-10-21,13.4,12,14.8,,,,28.8,49.7,1007.7,60
2013-10-22,15.5,12.6,18.5,,,,33.1,48.2,1004.7,492
2013-10-23,15.8,13.1,18.1,,,,36,69.5,999.4,30
2013-10-24,11.8,9.2,13.6,,,,33.5,62.6,1010.8,300
2013-10-25,11.3,8.2,14.9,,,,27.4,47.2,1011.5,60
2013-10-26,15.1,13.6,16.9,,,,34.6,56.5,1004.5,228
2013-10-27,14,12.1,16.5,,,,46.8,94.3,995.6,216
2013-10-28,12.7,9.5,17.6,,,,64.1,168.8,987.5,30
2013-10-29,10.3,8.5,11.5,,,,48.2,82.4,1000.8,144
2013-10-30,9.2,6.3,11.8,,,,38.5,63.7,1013.1,186
2013-10-31,9.5,7.6,12.1,,,,45.7,63.7,1015.5,162
2013-11-01,10.2,8.9,11,,,,34.9,54.4,1008.1,0
2013-11-02,9.1,7.7,10.8,,,,16.6,37.8,998.8,18
2013-11-03,9.7,7.3,11.4,,,,47.9,85,991.3,150
2013-11-04,7,6.1,7.9,,,,34.2,67,983.5,0
2013-11-05,8.1,6,9.6,,,,34.2,56.2,988.2,360
2013-11-06,7.2,5,9.8,,,,27.4,63.4,991.4,294
2013-11-07,8.5,6.6,10.9,,,,25.2,47.2,999,126
2013-11-08,8.3,6.9,9.9,,,,25.9,39.2,1004.5,354
2013-11-09,8.2,5.7,10.1,,,,48.2,102.2,997,126
2013-11-10,6.5,4.2,8.9,,,,29.5,51.8,1000.9,306
2013-11-11,7.3,5.1,9.6,,,,25.2,58.7,1022.6,396
2013-11-12,7,5.2,8.9,,,,37.8,60.5,1019.5,0
2013-11-13,8.1,6.1,10.4,,,,29.5,44.6,1023.1,420
2013-11-14,6.4,5.1,7.7,,,,,46.4,,66
2013-11-15,6.4,,,,,,20.5,,1024.3,
2013-11-16,8.1,6.6,9.6,,,,33.5,49,1023.2,0
2013-11-17,9,6.9,11,,,,19.1,38.2,1021.5,354
2013-11-18,6.3,5.2,7.5,,,,20.9,39.2,1008.2,0
2013-11-19,6.1,4.8,7.8,,,,31.3,49.3,1002.8,0
2013-11-20,5.1,4.5,6.7,,,,17.6,38.9,1002.3,60
2013-11-21,5,4.2,6.3,,,,20.5,42.1,1003.3,288
2013-11-22,5.4,4.4,6.4,,,,29.2,49.7,1011.3,0
2013-11-23,5.6,4.3,8.8,,,,18.4,33.1,1016.6,294
2013-11-24,5.3,3,7.1,,,,36.7,65.2,1018.1,396
2013-11-25,4.4,2.7,6.1,,,,27.7,51.1,1025.5,444
2013-11-26,4.3,2.5,6.3,,,,19.8,41,1029.6,324
2013-11-27,6.6,3.5,9,,,,37.1,53.6,1023.4,0
2013-11-28,8,6,9,,,,45.4,67.3,1021.3,318
2013-11-29,6.1,4.9,6.9,,,,,65.2,,0
2013-11-30,5.9,4.9,7,,,,33.8,59.4,1011.9,6
