date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2013-07-01,15.6,11.5,20.1,0.3,,230,12.6,44.6,1014.3,360
2013-07-02,15.1,10.9,19.9,0.1,,244,9.7,28.8,1014.7,510
2013-07-03,18,15.1,24.2,10.2,,125,8.3,22.7,1010.2,120
2013-07-04,17.2,13.5,19.9,0,,244,7.9,29.9,1018.9,12
2013-07-05,16.9,10.2,22.2,0,,252,13.3,33.5,1027.2,486
2013-07-06,15.3,7.6,20.6,0,,340,8.6,22,1032.1,960
2013-07-07,17.2,9,22.3,0,,340,7.6,22.3,1032.8,906
2013-07-08,18.4,10.6,24.6,0,,305,8.6,28.8,1031.5,870
2013-07-09,18.6,10.7,25.2,0,,281,10.1,31,1025.7,870
2013-07-10,16.8,12.4,22,0,,302,16.9,43.6,1019.3,684
2013-07-11,16.7,9.9,22.9,0,,302,14,33.5,1020.2,888
2013-07-12,16,9.8,22.5,0,,260,11.5,26.6,1021.6,864
2013-07-13,16.1,10,21.9,0,,263,15.5,36,1021.8,522
2013-07-14,15.7,11.3,19.2,0,,275,20.2,42.8,1021.3,372
2013-07-15,15.9,10.5,21,0,,267,14.8,33.5,1022.1,474
2013-07-16,17.8,13.3,23.5,0,,256,12.6,29.2,1023.3,552
2013-07-17,18.7,11.6,24.5,0,,290,10.4,25.2,1024.5,546
2013-07-18,18.9,12.3,25.2,0,,275,12.6,36.7,1024.9,792
2013-07-19,18.9,12.9,25,0,,277,20.2,43.9,1021.8,540
2013-07-20,18.9,10.5,24.9,0,,343,8.3,20.2,1023.4,936
2013-07-21,20.6,11.3,29.1,0,,271,6.8,27.4,1022.6,942
2013-07-22,21,12.9,27.4,0,,27,7.2,24.1,1018.9,936
2013-07-23,20.5,12.9,26.7,0,,47,12.2,36.4,1016.8,918
2013-07-24,20.6,14.9,24.8,2.1,,72,12.2,27.4,1016,618
2013-07-25,20.6,16.2,25,0.1,,70,7.6,24.5,1015.7,492
2013-07-26,23.2,16.8,29.1,0,,118,5.8,21.6,1014.5,396
2013-07-27,22.3,18.5,27.2,24.4,,112,9.7,52.2,1010.8,528
2013-07-28,21.7,15.1,26.9,0,,237,12.2,42.1,1009.5,408
2013-07-29,19.6,14.4,24.2,0.5,,40,8.6,25.9,1014.4,420
2013-07-30,18.8,15.3,22.4,19.9,,238,13.7,41.4,1013.7,468
2013-07-31,17.9,14.6,22.4,0.4,,239,14.4,54.4,1013.8,558
2013-08-01,20.6,14.5,27.6,0,,199,7.9,28.4,1016.3,318
2013-08-02,26.1,18.2,33.4,0,,126,7.9,24.5,1013.5,900
2013-08-03,22,15,26.2,2.3,,217,11.9,49.3,1015.5,426
2013-08-04,19.1,13,24.9,0,,230,7.2,25.2,1022,678
2013-08-05,21.6,13.6,27.5,0,,124,9.4,29.9,1018.6,684
2013-08-06,20.7,15.2,24.1,0,,211,15.1,42.5,1013.7,570
2013-08-07,17.3,10.4,20.4,13.4,,353,12.6,29.2,1015,522
