Datum,VPI
2013-07-01,98.9
2013-07-02,98.9
2013-07-03,98.9
2013-07-04,98.9
2013-07-05,98.9
2013-07-06,98.9
2013-07-07,98.9
2013-07-08,98.9
2013-07-09,98.9
2013-07-10,98.9
2013-07-11,98.9
2013-07-12,98.9
2013-07-13,98.9
2013-07-14,98.9
2013-07-15,98.9
2013-07-16,98.9
2013-07-17,98.9
2013-07-18,98.9
2013-07-19,98.9
2013-07-20,98.9
2013-07-21,98.9
2013-07-22,98.9
2013-07-23,98.9
2013-07-24,98.9
2013-07-25,98.9
2013-07-26,98.9
2013-07-27,98.9
2013-07-28,98.9
2013-07-29,98.9
2013-07-30,98.9
2013-07-31,98.9
2013-08-01,98.9
2013-08-02,98.9
2013-08-03,98.9
2013-08-04,98.9
2013-08-05,98.9
2013-08-06,98.9
2013-08-07,98.9
2013-08-08,98.9
2013-08-09,98.9
2013-08-10,98.9
2013-08-11,98.9
2013-08-12,98.9
2013-08-13,98.9
2013-08-14,98.9
2013-08-15,98.9
2013-08-16,98.9
2013-08-17,98.9
2013-08-18,98.9
2013-08-19,98.9
2013-08-20,98.9
2013-08-21,98.9
2013-08-22,98.9
2013-08-23,98.9
2013-08-24,98.9
2013-08-25,98.9
2013-08-26,98.9
2013-08-27,98.9
2013-08-28,98.9
2013-08-29,98.9
2013-08-30,98.9
2013-08-31,98.9
2013-09-01,98.9
2013-09-02,98.9
2013-09-03,98.9
2013-09-04,98.9
2013-09-05,98.9
2013-09-06,98.9
2013-09-07,98.9
2013-09-08,98.9
2013-09-09,98.9
2013-09-10,98.9
2013-09-11,98.9
2013-09-12,98.9
2013-09-13,98.9
2013-09-14,98.9
2013-09-15,98.9
2013-09-16,98.9
2013-09-17,98.9
2013-09-18,98.9
2013-09-19,98.9
2013-09-20,98.9
2013-09-21,98.9
2013-09-22,98.9
2013-09-23,98.9
2013-09-24,98.9
2013-09-25,98.9
2013-09-26,98.9
2013-09-27,98.9
2013-09-28,98.9
2013-09-29,98.9
2013-09-30,98.9
2013-10-01,98.7
2013-10-02,98.7
2013-10-03,98.7
2013-10-04,98.7
2013-10-05,98.7
2013-10-06,98.7
2013-10-07,98.7
2013-10-08,98.7
2013-10-09,98.7
2013-10-10,98.7
2013-10-11,98.7
2013-10-12,98.7
2013-10-13,98.7
2013-10-14,98.7
2013-10-15,98.7
2013-10-16,98.7
2013-10-17,98.7
2013-10-18,98.7
2013-10-19,98.7
2013-10-20,98.7
2013-10-21,98.7
2013-10-22,98.7
2013-10-23,98.7
2013-10-24,98.7
2013-10-25,98.7
2013-10-26,98.7
2013-10-27,98.7
2013-10-28,98.7
2013-10-29,98.7
2013-10-30,98.7
2013-10-31,98.7
2013-11-01,98.9
2013-11-02,98.9
2013-11-03,98.9
2013-11-04,98.9
2013-11-05,98.9
2013-11-06,98.9
2013-11-07,98.9
2013-11-08,98.9
2013-11-09,98.9
2013-11-10,98.9
2013-11-11,98.9
2013-11-12,98.9
2013-11-13,98.9
2013-11-14,98.9
2013-11-15,98.9
2013-11-16,98.9
2013-11-17,98.9
2013-11-18,98.9
2013-11-19,98.9
2013-11-20,98.9
2013-11-21,98.9
2013-11-22,98.9
2013-11-23,98.9
2013-11-24,98.9
2013-11-25,98.9
2013-11-26,98.9
2013-11-27,98.9
2013-11-28,98.9
2013-11-29,98.9
2013-11-30,98.9
2013-12-01,99.3
2013-12-02,99.3
2013-12-03,99.3
2013-12-04,99.3
2013-12-05,99.3
2013-12-06,99.3
2013-12-07,99.3
2013-12-08,99.3
2013-12-09,99.3
2013-12-10,99.3
2013-12-11,99.3
2013-12-12,99.3
2013-12-13,99.3
2013-12-14,99.3
2013-12-15,99.3
2013-12-16,99.3
2013-12-17,99.3
2013-12-18,99.3
2013-12-19,99.3
2013-12-20,99.3
2013-12-21,99.3
2013-12-22,99.3
2013-12-23,99.3
2013-12-24,99.3
2013-12-25,99.3
2013-12-26,99.3
2013-12-27,99.3
2013-12-28,99.3
2013-12-29,99.3
2013-12-30,99.3
2013-12-31,99.3
2014-01-01,98.8
2014-01-02,98.8
2014-01-03,98.8
2014-01-04,98.8
2014-01-05,98.8
2014-01-06,98.8
2014-01-07,98.8
2014-01-08,98.8
2014-01-09,98.8
2014-01-10,98.8
2014-01-11,98.8
2014-01-12,98.8
2014-01-13,98.8
2014-01-14,98.8
2014-01-15,98.8
2014-01-16,98.8
2014-01-17,98.8
2014-01-18,98.8
2014-01-19,98.8
2014-01-20,98.8
2014-01-21,98.8
2014-01-22,98.8
2014-01-23,98.8
2014-01-24,98.8
2014-01-25,98.8
2014-01-26,98.8
2014-01-27,98.8
2014-01-28,98.8
2014-01-29,98.8
2014-01-30,98.8
2014-01-31,98.8
2014-02-01,99.2
2014-02-02,99.2
2014-02-03,99.2
2014-02-04,99.2
2014-02-05,99.2
2014-02-06,99.2
2014-02-07,99.2
2014-02-08,99.2
2014-02-09,99.2
2014-02-10,99.2
2014-02-11,99.2
2014-02-12,99.2
2014-02-13,99.2
2014-02-14,99.2
2014-02-15,99.2
2014-02-16,99.2
2014-02-17,99.2
2014-02-18,99.2
2014-02-19,99.2
2014-02-20,99.2
2014-02-21,99.2
2014-02-22,99.2
2014-02-23,99.2
2014-02-24,99.2
2014-02-25,99.2
2014-02-26,99.2
2014-02-27,99.2
2014-02-28,99.2
2014-03-01,99.5
2014-03-02,99.5
2014-03-03,99.5
2014-03-04,99.5
2014-03-05,99.5
2014-03-06,99.5
2014-03-07,99.5
2014-03-08,99.5
2014-03-09,99.5
2014-03-10,99.5
2014-03-11,99.5
2014-03-12,99.5
2014-03-13,99.5
2014-03-14,99.5
2014-03-15,99.5
2014-03-16,99.5
2014-03-17,99.5
2014-03-18,99.5
2014-03-19,99.5
2014-03-20,99.5
2014-03-21,99.5
2014-03-22,99.5
2014-03-23,99.5
2014-03-24,99.5
2014-03-25,99.5
2014-03-26,99.5
2014-03-27,99.5
2014-03-28,99.5
2014-03-29,99.5
2014-03-30,99.5
2014-03-31,99.5
2014-04-01,99.4
2014-04-02,99.4
2014-04-03,99.4
2014-04-04,99.4
2014-04-05,99.4
2014-04-06,99.4
2014-04-07,99.4
2014-04-08,99.4
2014-04-09,99.4
2014-04-10,99.4
2014-04-11,99.4
2014-04-12,99.4
2014-04-13,99.4
2014-04-14,99.4
2014-04-15,99.4
2014-04-16,99.4
2014-04-17,99.4
2014-04-18,99.4
2014-04-19,99.4
2014-04-20,99.4
2014-04-21,99.4
2014-04-22,99.4
2014-04-23,99.4
2014-04-24,99.4
2014-04-25,99.4
2014-04-26,99.4
2014-04-27,99.4
2014-04-28,99.4
2014-04-29,99.4
