Feature 1,Feature 2,Feature 3,R²,Adjustiertes R²
Broetchen,Kuchen,Weihnachtsmarkt,0.47418969971862457,0.47283568177798585
Broetchen,Kuchen,Saisonbrot,0.47358088285426936,0.47222529714488126
Broetchen,Konditorei,Kuchen,0.4646210107287875,0.4632423523873166
Broetchen,Croissant,Kuchen,0.46449651289906124,0.4631175339623207
Broetchen,Kuchen,Temp_Cold,0.4639924614362295,0.4626121845128893
Brot,Broetchen,Kuchen,0.46334420928417475,0.46196226304198806
Broetchen,Kuchen,Weather_Light_Issues,0.4625446449800641,0.46116063977400423
Broetchen,Kuchen,Cloud_Cloudy,0.46246471249801957,0.461080501457242
Broetchen,Kuchen,Weather_Unknown,0.4624160420446449,0.46103170567222773
Broetchen,Kuchen,is_holiday,0.4619527507416107,0.4610298566605501
Broetchen,Kuchen,Temp_Mild,0.4623964200381052,0.46101203313691586
Broetchen,Kuchen,Temp_Warm,0.46237835126113547,0.4609939178309066
Broetchen,Kuchen,VPI,0.46232544987003044,0.46094088021304336
Broetchen,Kuchen,Feiertag,0.46227399652442114,0.4608892943695484
Broetchen,Kuchen,Wind_Moderate,0.46224376666800937,0.46085898666801284
Broetchen,Kuchen,Cloud_Clear,0.4622388559322025,0.46085406328653433
Broetchen,Kuchen,KielerWoche,0.46221843282117747,0.4608335875838071
Broetchen,Kuchen,Markt,0.462200152843277,0.46081526053300215
Broetchen,Kuchen,Sonntag,0.4621345810228149,0.4607495198580668
Broetchen,Kuchen,Wind_Strong,0.46208399785942,0.46069880643759875
Broetchen,Kuchen,Temp_Hot,0.4620628028033549,0.4606775568019902
Broetchen,Kuchen,Wind_Light,0.4620456126661028,0.46066032239829013
Broetchen,Kuchen,Cloud_Partly_Cloudy,0.4620380575359291,0.4606527478128457
Broetchen,Kuchen,Mittwoch,0.4620324809778482,0.4606471568945294
Broetchen,Kuchen,Temp_Very_Cold,0.46202282403256567,0.4606374750815766
Broetchen,Kuchen,Samstag,0.4620122044591608,0.4606268281616308
Broetchen,Kuchen,Dienstag,0.4619988222734368,0.46061341151534263
Broetchen,Kuchen,Freitag,0.4619969540666703,0.4606115384977433
Broetchen,Kuchen,Weather_Severe,0.46199421241845806,0.4606087897894927
Broetchen,Kuchen,Weather_Good,0.46195989635232526,0.46057438535580764
Broetchen,Kuchen,Weather_Moderate,0.46195902691334645,0.4605735136779302
Broetchen,Kuchen,Montag,0.46195796815750745,0.4605724521956813
Broetchen,Kuchen,Heimspiel,0.46195792584986417,0.4605724097790913
Broetchen,Kuchen,Donnerstag,0.46195289600736167,0.46056736698420464
Croissant,Konditorei,Kuchen,0.45086741980681866,0.44945334449301655
Croissant,Kuchen,Weihnachtsmarkt,0.45012769222552285,0.448711712033829
Croissant,Kuchen,Saisonbrot,0.450051542348897,0.44863536606310017
Croissant,Kuchen,Sonntag,0.4486126587570254,0.4471927771915929
Croissant,Kuchen,Temp_Cold,0.43966729533954496,0.4382243785035095
Brot,Broetchen,Saisonbrot,0.4396335710130671,0.43819056733327244
Brot,Broetchen,Weihnachtsmarkt,0.43962888203830675,0.438185866283899
Croissant,Kuchen,Mittwoch,0.43909151789080947,0.43764711836606485
Croissant,Kuchen,Dienstag,0.43846100343251193,0.4370149802653853
Croissant,Kuchen,Temp_Warm,0.4380312656406302,0.4365841358525804
Croissant,Kuchen,Weather_Light_Issues,0.437908587044918,0.4364611413463212
Croissant,Kuchen,Cloud_Cloudy,0.43772705731923767,0.4362791441621199
Croissant,Kuchen,Temp_Mild,0.4377099081873107,0.43626195086933817
Croissant,Kuchen,is_holiday,0.4372234452141699,0.436258133799443
Croissant,Kuchen,Freitag,0.4376894787581619,0.43624146883221726
Croissant,Kuchen,Wind_Moderate,0.43765071157407864,0.4362026018184755
Croissant,Kuchen,Wind_Light,0.4376478360613204,0.4361997189009633
Croissant,Kuchen,Weather_Unknown,0.4375869254778618,0.4361386514662169
Croissant,Kuchen,Feiertag,0.43747940369436933,0.43603085280259524
Croissant,Kuchen,Cloud_Clear,0.43744770213564754,0.4359990696089583
Croissant,Kuchen,Samstag,0.4374073431815355,0.435958606726209
Croissant,Kuchen,Montag,0.4373991854733994,0.4359504280110992
Croissant,Kuchen,Weather_Good,0.43738677281791116,0.4359379833916912
Croissant,Kuchen,Cloud_Partly_Cloudy,0.43734287385076476,0.4358939713799942
Brot,Croissant,Kuchen,0.4372927903727236,0.4358437589316233
Croissant,Kuchen,Temp_Hot,0.43728907887861,0.43584003788001413
Croissant,Kuchen,Donnerstag,0.4372651221068382,0.43581601941698456
Croissant,Kuchen,Markt,0.4372436432075585,0.4357944852072346
Croissant,Kuchen,KielerWoche,0.43724015595122445,0.43579098897084134
Croissant,Kuchen,Temp_Very_Cold,0.43723954513551966,0.43579037658222064
Croissant,Kuchen,VPI,0.43723831400864277,0.43578914228505994
Croissant,Kuchen,Weather_Moderate,0.4372345881879647,0.4357854068699938
Croissant,Kuchen,Wind_Strong,0.43722814168316615,0.4357789437647537
Croissant,Kuchen,Heimspiel,0.43722511345572534,0.4357759077393023
Croissant,Kuchen,Weather_Severe,0.43722392913643093,0.43577472037025866
Brot,Broetchen,Konditorei,0.4361300404842353,0.43467801483741364
Brot,Broetchen,Temp_Cold,0.4353558392994106,0.43390182000146915
Broetchen,Croissant,Saisonbrot,0.434573387915519,0.4331173537213101
Broetchen,Konditorei,Saisonbrot,0.43422736189120137,0.43277043664285253
Broetchen,Croissant,Weihnachtsmarkt,0.43397444455478495,0.43251686801715783
Brot,Broetchen,Sonntag,0.43379402175850446,0.4323359806128182
Broetchen,Konditorei,Weihnachtsmarkt,0.4337143977181104,0.43225615153197683
Broetchen,Temp_Cold,Weihnachtsmarkt,0.43370587839549457,0.4322476102711912
Broetchen,Saisonbrot,Temp_Cold,0.4335915589461262,0.43213299643697467
Broetchen,Saisonbrot,Temp_Warm,0.4328650105089078,0.4314045770595746
Broetchen,Saisonbrot,Temp_Hot,0.4326942273142902,0.4312333540799064
Broetchen,Saisonbrot,Weihnachtsmarkt,0.4326824477862272,0.43122154421829473
Broetchen,Temp_Warm,Weihnachtsmarkt,0.43266151481841053,0.43120055734583995
Broetchen,Saisonbrot,KielerWoche,0.43252409030197037,0.4310627789465248
Broetchen,Saisonbrot,Cloud_Cloudy,0.4324743887933661,0.43101294945120305
Broetchen,Saisonbrot,is_holiday,0.431981928908593,0.43100762689985994
Broetchen,Saisonbrot,Feiertag,0.4324355309972093,0.43097399159205196
Broetchen,Saisonbrot,Cloud_Clear,0.4323965937844234,0.4309349541117653
Broetchen,Temp_Hot,Weihnachtsmarkt,0.43236746047623753,0.430905745782185
Broetchen,Saisonbrot,Weather_Unknown,0.4323194472742222,0.43085760894102276
Broetchen,Saisonbrot,Wind_Moderate,0.4322948305870836,0.4308329288632735
Broetchen,Saisonbrot,Weather_Light_Issues,0.43220768589494507,0.4307455597642025
Broetchen,Saisonbrot,Sonntag,0.4321908140951307,0.4307286445176933
Broetchen,KielerWoche,Weihnachtsmarkt,0.43217759388084487,0.4307153902599372
Broetchen,Saisonbrot,Markt,0.4321323481051321,0.43067002797149734
Broetchen,Saisonbrot,Wind_Light,0.4321294374256379,0.4306671097966911
Broetchen,Feiertag,Weihnachtsmarkt,0.43207012157894764,0.43060764120533124
Broetchen,Saisonbrot,Wind_Strong,0.43206419315406885,0.43060169751412225
Broetchen,is_holiday,Weihnachtsmarkt,0.4315655700266179,0.4305905538517064
Broetchen,Saisonbrot,Temp_Mild,0.432030407268711,0.4305678246264846
Broetchen,Saisonbrot,VPI,0.43202599069359005,0.43056339667820875
Broetchen,Saisonbrot,Donnerstag,0.43202224388217747,0.4305596402183548
Broetchen,Saisonbrot,Cloud_Partly_Cloudy,0.43200923655171963,0.4305465993926254
Broetchen,Cloud_Cloudy,Weihnachtsmarkt,0.4320022255844127,0.4305395703713254
Broetchen,Saisonbrot,Mittwoch,0.43200031740047806,0.4305376572736124
Broetchen,Saisonbrot,Weather_Severe,0.4320001589262843,0.4305374983913305
Broetchen,Saisonbrot,Samstag,0.43199248253483014,0.4305298022323447
Broetchen,Saisonbrot,Weather_Good,0.43198747577998653,0.43052478258457016
Broetchen,Saisonbrot,Weather_Moderate,0.43198710856010203,0.4305244144190551
Broetchen,Weather_Unknown,Weihnachtsmarkt,0.4319837864031534,0.4305210837071959
