Feature 1,Feature 2,R²,Adjustiertes R²,AIC,BIC,P-Wert (Feature 1),P-Wert (Feature 2)
Broetchen,Kuchen,0.47418969971862457,0.47283568177798585,16780.052008427876,16800.307624273762,8.84272899364724e-89,1.6156481225764015e-21
Broetchen,Kuchen,0.47358088285426936,0.47222529714488126,16781.404768542856,16801.660384388742,1.1577348029657786e-88,4.914384421031819e-21
Broetchen,Konditorei,0.4646210107287875,0.4632423523873166,16801.134204995673,16821.38982084156,1.5606935392795027e-77,0.01612396160556765
Broetchen,Croissant,0.46449651289906124,0.4631175339623207,16801.406014399257,16821.661630245144,2.8332542043676566e-14,0.018815935920295363
Broetchen,Kuchen,0.4639924614362295,0.4626121845128893,16802.50583733976,16822.761453185645,4.131871880059299e-76,1.79419245510655e-18
Brot,Broetchen,0.46334420928417475,0.46196226304198806,16803.918781806722,16824.17439765261,0.08247474731524719,4.2649887397529704e-82
Broetchen,Kuchen,0.4625446449800641,0.46116063977400423,16805.659180550112,16825.914796396,1.1252369297951759e-83,1.928110188675696e-19
Broetchen,Kuchen,0.46246471249801957,0.461080501457242,16805.833025917666,16826.088641763552,2.5656784146426325e-82,2.5784624190570783e-19
Broetchen,Kuchen,0.4624160420446449,0.46103170567222773,16805.93886675397,16826.194482599858,3.87944964967117e-82,2.690641596683229e-19
Broetchen,Kuchen,0.4619527507416107,0.4610298566605501,16804.94588024169,16820.137592126106,1.6283317721645664e-83,1.930261158845173e-19
Broetchen,Kuchen,0.4623964200381052,0.46101203313691586,16805.981534892948,16826.237150738834,2.4741059373354393e-82,2.487535419666352e-19
Broetchen,Kuchen,0.46237835126113547,0.4609939178309066,16806.02082415015,16826.276439996036,1.0350916889458589e-77,4.750837402027818e-19
Broetchen,Kuchen,0.46232544987003044,0.46094088021304336,16806.13584683193,16826.391462677817,6.628136835769258e-83,1.4344871573998773e-19
Broetchen,Kuchen,0.46227399652442114,0.4608892943695484,16806.247710194584,16826.50332604047,1.3851916636454297e-82,2.3455605471421395e-19
Broetchen,Kuchen,0.46224376666800937,0.46085898666801284,16806.31342713708,16826.569042982966,7.836539785725448e-83,1.9464505441819508e-19
Broetchen,Kuchen,0.4622388559322025,0.46085406328653433,16806.324102278697,16826.579718124583,6.0738685376409435e-83,2.7458199534830096e-19
Broetchen,Kuchen,0.46221843282117747,0.4608335875838071,16806.36849775745,16826.624113603335,1.2861788786787986e-82,3.001230753131928e-19
Broetchen,Kuchen,0.462200152843277,0.46081526053300215,16806.408233092927,16826.663848938813,1.4653587545163976e-83,2.2479513137663943e-19
Broetchen,Kuchen,0.4621345810228149,0.4607495198580668,16806.550755977376,16826.806371823262,5.153778898301331e-70,1.7693751710317695e-19
Broetchen,Kuchen,0.46208399785942,0.46069880643759875,16806.66068856571,16826.916304411596,3.0538893019640136e-83,2.0241888172675167e-19
Broetchen,Kuchen,0.4620628028033549,0.4606775568019902,16806.70674879132,16826.962364637206,3.241452986964852e-81,4.3275414679130657e-19
Broetchen,Kuchen,0.4620456126661028,0.46066032239829013,16806.744104358997,16826.999720204883,3.391490471476641e-83,1.9542317617971573e-19
Broetchen,Kuchen,0.4620380575359291,0.4606527478128457,16806.760521894317,16827.016137740204,3.677549282014958e-83,1.9370844838684876e-19
Broetchen,Kuchen,0.4620324809778482,0.4606471568945294,16806.772639782397,16827.028255628284,4.643311428997113e-81,1.8327110284060831e-19
Broetchen,Kuchen,0.46202282403256567,0.4606374750815766,16806.79362407478,16827.049239920667,3.64843178863429e-82,1.8555655587700278e-19
Broetchen,Kuchen,0.4620122044591608,0.4606268281616308,16806.81669969832,16827.072315544207,1.422890596905842e-80,2.104024116332867e-19
Broetchen,Kuchen,0.4619988222734368,0.46061341151534263,16806.845777645212,16827.1013934911,1.120308761510599e-81,1.9114134267030288e-19
Broetchen,Kuchen,0.4619969540666703,0.4606115384977433,16806.849836985617,16827.105452831503,2.1953792207739398e-82,1.9052320987855615e-19
Broetchen,Kuchen,0.46199421241845806,0.4606087897894927,16806.855794161173,16827.11141000706,2.088058254166807e-83,2.0136748302586802e-19
Broetchen,Kuchen,0.46195989635232526,0.46057438535580764,16806.93035507284,16827.185970918727,2.0792357251758315e-83,1.9911981417205253e-19
Broetchen,Kuchen,0.46195902691334645,0.4605735136779302,16806.932244101812,16827.1878599477,3.0517596542759745e-82,2.062522665890998e-19
Broetchen,Kuchen,0.46195796815750745,0.4605724521956813,16806.93454445517,16827.190160301056,3.922024785744127e-83,2.0595814210135263e-19
Broetchen,Kuchen,0.46195792584986417,0.4605724097790913,16806.934636376674,16827.19025222256,2.9036925964049793e-83,2.0129699718689058e-19
Broetchen,Kuchen,0.46195289600736167,0.46056736698420464,16806.945564626873,16827.20118047276,1.2361721436798743e-82,2.066573825103498e-19
Croissant,Konditorei,0.45086741980681866,0.44945334449301655,16830.785912282237,16851.041528128124,4.232832500499801e-71,8.99026953981324e-08
Croissant,Kuchen,0.45012769222552285,0.448711712033829,16832.359593496203,16852.61520934209,1.9579133391054417e-77,2.4163087721319956e-32
Croissant,Kuchen,0.450051542348897,0.44863536606310017,16832.521472974597,16852.777088820483,1.4142127233879374e-77,8.541036050354542e-32
Croissant,Kuchen,0.4486126587570254,0.4471927771915929,16835.576047024817,16855.831662870703,1.0272070311435345e-63,8.96419230152586e-30
Croissant,Kuchen,0.43966729533954496,0.4382243785035095,16854.38897670804,16874.644592553926,7.494778980172857e-65,1.6105210568162387e-28
Brot,Broetchen,0.4396335710130671,0.43819056733327244,16854.459332321745,16874.71494816763,7.065083477508545e-05,4.649709060220793e-134
Brot,Broetchen,0.43962888203830675,0.438185866283899,16854.469114115014,16874.7247299609,4.5262683375400716e-05,4.2901779783293554e-134
Croissant,Kuchen,0.43909151789080947,0.43764711836606485,16855.58958172448,16875.845197570365,1.8101021793863482e-70,1.1542948903968528e-29
Croissant,Kuchen,0.43846100343251193,0.4370149802653853,16856.902910843706,16877.158526689593,8.110950564786879e-71,1.7015219192912442e-29
Croissant,Kuchen,0.4380312656406302,0.4365841358525804,16857.79718773986,16878.052803585746,1.7766974141655352e-66,5.088684506407242e-29
Croissant,Kuchen,0.437908587044918,0.4364611413463212,16858.052354297095,16878.30797014298,2.6123362484109434e-72,1.3668048250765207e-29
Croissant,Kuchen,0.43772705731923767,0.4362791441621199,16858.429826688673,16878.68544253456,6.60320109414814e-71,1.7902805384435868e-29
Croissant,Kuchen,0.4377099081873107,0.43626195086933817,16858.46548024407,16878.721096089957,6.018313274785884e-71,1.7721025454590618e-29
Croissant,Kuchen,0.4372234452141699,0.436258133799443,16857.476398579904,16872.66811046432,4.1417566502966236e-72,1.41636927182939e-29
Croissant,Kuchen,0.4376894787581619,0.43624146883221726,16858.50795221572,16878.763568061608,3.5346373032429553e-71,1.2708710764229776e-29
Croissant,Kuchen,0.43765071157407864,0.4362026018184755,16858.588543409292,16878.84415925518,1.7165275395737052e-71,1.527247079674822e-29
Croissant,Kuchen,0.4376478360613204,0.4361997189009633,16858.5945209501,16878.850136795987,6.006322412592007e-72,1.5806946333767562e-29
Croissant,Kuchen,0.4375869254778618,0.4361386514662169,16858.721133099367,16878.976748945253,1.095586055017428e-70,1.8044143884542845e-29
Croissant,Kuchen,0.43747940369436933,0.43603085280259524,16858.94460043535,16879.200216281235,3.746829159146133e-71,1.766660347913956e-29
Croissant,Kuchen,0.43744770213564754,0.4359990696089583,16859.010479050587,16879.266094896473,1.633739547117302e-71,1.9745804877177133e-29
Croissant,Kuchen,0.4374073431815355,0.435958606726209,16859.094343120156,16879.349958966042,3.127846434726726e-69,1.9121593254683792e-29
Croissant,Kuchen,0.4373991854733994,0.4359504280110992,16859.111293735412,16879.3669095813,8.176438420287175e-72,2.800093179410532e-29
Croissant,Kuchen,0.43738677281791116,0.4359379833916912,16859.13708508484,16879.392700930726,4.398922201221461e-72,1.5470290363211464e-29
Croissant,Kuchen,0.43734287385076476,0.4358939713799942,16859.228294974924,16879.48391082081,8.866420185473112e-72,1.4084701027708582e-29
Brot,Croissant,0.4372927903727236,0.4358437589316233,16859.33234587472,16879.58796172061,0.7048278041363332,4.485405846968775e-70
Croissant,Kuchen,0.43728907887861,0.43584003788001413,16859.340056318513,16879.5956721644,8.505579051336084e-70,3.334783832334716e-29
Croissant,Kuchen,0.4372651221068382,0.43581601941698456,16859.389824092723,16879.64543993861,2.94708682192329e-71,1.4355286151826877e-29
