id,Umsatz
1808015,282.70795
1808025,253.71625
1808035,278.28165
1808045,305.53546
1808055,340.26508
1808065,275.4055
1808075,256.72357
1808085,269.8249
1808095,277.00116
1808105,306.3983
1808115,337.7037
1808125,332.6474
1808135,274.48044
1808145,266.76083
1808155,298.92487
1808165,253.71625
1808175,306.82986
1808185,321.72617
1808195,340.11133
1808205,288.6222
1808215,279.67706
1808225,271.30673
1808235,284.37686
1808245,303.2028
1808255,338.09216
1808265,334.41183
1808275,283.56744
1808285,277.80957
1808295,284.51505
1808305,290.87125
1808315,304.05902
1809015,269.42142
1809025,262.09326
1809035,213.83276
1809045,219.35327
1809055,214.7685
1809065,225.12915
1809075,234.70288
1809085,257.961
1809095,261.22968
1809105,214.59848
1809115,209.97293
1809125,225.07321
1809135,217.31659
1809145,239.54596
1809155,269.42142
1809165,264.96793
1809175,216.0823
1809185,219.65646
1809195,224.8003
1809205,216.59244
1809215,231.78845
1809225,269.42142
1809235,261.22968
1809245,214.59848
1809255,218.73785
1809265,225.72931
1809275,222.19124
1809285,239.54596
1809295,257.961
1809305,264.96793
1810015,222.37216
1810025,206.15504
1810035,282.39566
1810045,235.74652
1810055,244.67467
1810065,268.94067
1810075,257.19714
1810085,224.54092
1810095,229.42673
1810105,227.39334
1810115,224.37024
1810125,232.52072
1810135,250.355
1810145,248.31004
1810155,207.93077
1810165,222.28906
1810175,218.50327
1810185,224.37024
1810195,244.67467
1810205,267.89395
1810215,263.50638
1810225,213.5781
1810235,206.47093
1810245,221.89305
1810255,219.35802
1810265,230.69319
1810275,249.14404
1810285,249.2124
1810295,188.33691
1810305,208.65936
1811015,196.73389
1811025,218.10101
1811035,235.81982
1811045,223.7545
1811055,214.80225
1811065,181.98785
1811075,208.52687
1811085,218.6005
1811095,201.58429
1811105,236.55559
1811115,250.88531
1811125,210.83592
1811135,197.27084
1811145,180.1283
1811155,196.73389
1811165,196.71483
1811175,235.81982
1811185,223.7545
1811195,197.59041
1811205,177.96677
1811215,180.1283
1811225,180.40857
1811235,197.3017
1811245,213.71161
1811255,223.7545
1811265,169.40012
1811275,166.92865
1811285,177.6406
1811295,166.40475
1811305,185.7669
1812015,196.94308
1812025,192.25488
1812035,186.43954
1812045,192.75348
1812055,198.17255
1812065,161.57654
1812075,208.77411
1812085,193.94037
1812095,192.25488
1812105,179.98318
1812115,161.2202
1812125,169.097
1812135,156.91385
1812145,175.44298
1812155,196.94308
1812165,200.96284
1812175,168.43771
1812185,161.2202
1812195,169.097
1812205,156.91385
1812215,190.56741
1812225,208.198
1812235,196.96008
1812245,200.84874
1812275,418.04022
1812285,398.19208
1812295,424.85284
1812305,438.28616
1812315,665.6901
1901025,236.62038
1901035,215.95679
1901045,228.52615
1901055,283.1633
1901065,250.20181
1901075,203.53188
1901085,199.77522
1901095,216.09628
1901105,213.9361
1901115,212.22055
1901125,272.47592
1901135,245.86075
1901145,206.6735
1901155,206.12837
1901165,216.49503
1901175,213.9361
1901185,215.8579
1901195,283.1633
1901205,255.98662
1901215,202.76459
1901225,214.30078
1901235,209.96025
1901245,212.28398
1901255,218.03777
1901265,272.47592
1901275,245.04599
1901285,194.08925
1901295,195.7629
1901305,224.09271
1901315,213.9361
1902015,215.24619
1902025,268.8181
1902035,266.09262
1902045,191.47942
1902055,203.17162
1902065,213.25415
1902075,210.27618
1902085,210.95486
1902095,271.10727
1902105,242.09256
1902115,214.70871
1902125,227.13814
1902135,213.3165
1902145,219.61366
1902155,251.93866
1902165,284.60385
1902175,274.20215
1902185,225.25371
1902195,203.17162
1902205,213.3165
1902215,210.27618
1902225,234.01602
1902235,268.8181
1902245,266.09262
1902255,214.70871
1902265,232.96451
1902275,234.82884
1902285,219.61366
1903015,201.88498
1903025,235.83179
1903035,237.97044
1903045,201.1293
1903055,212.5198
1903065,189.5517
1903075,191.4967
1903085,220.26288
1903095,235.83179
1903105,232.55061
1903115,204.13193
1903125,185.7286
1903135,194.70001
1903145,183.45526
1903155,201.88498
1903165,227.83224
1903175,244.89217
1903185,204.13193
1903195,212.5198
1903215,206.46472
1903225,201.88498
1903235,245.84604
1903245,258.22034
1903255,204.13193
1903265,185.7286
1903275,189.5517
1903285,206.46472
1903295,228.59631
1903305,263.55472
1903315,258.22034
1904015,200.03302
1904025,215.0365
1904045,214.24683
1904055,244.78885
1904065,263.95233
1904075,256.93063
1904085,201.7811
1904095,218.13766
1904105,207.84177
1904115,214.24683
1904125,217.81079
1904135,261.10406
1904145,234.90982
1904155,201.7811
1904165,218.13766
1904175,225.46152
1904185,309.77808
1904205,364.02283
1904215,300.0485
1904225,266.84198
1904235,215.0365
1904245,219.90987
1904255,212.49359
1904265,230.23715
1904275,267.32047
1904285,233.38339
1904295,212.03586
1904305,204.79614
1905025,188.6318
1905035,198.58337
1905045,255.66174
1905055,256.9964
1905065,203.10924
1905075,208.61365
1905085,221.21167
1905095,216.22925
1905105,230.00241
1905115,264.1008
1905125,256.9964
1905135,212.46796
1905145,208.40215
1905155,217.65007
1905165,218.03555
1905175,230.00241
1905185,265.79645
1905195,259.87823
1905205,214.17838
1905215,205.39023
1905225,220.88054
1905235,210.95847
1905245,237.72359
1905255,252.82211
1905265,266.0851
1905275,213.68292
1905285,208.40215
1905295,218.57263
1905305,275.19556
1905315,230.00241
1906015,264.1698
1906025,268.54752
1906035,227.43991
1906045,223.73714
1906055,231.53491
1906065,237.83406
1906075,251.39554
1906085,264.1698
1906095,305.2676
1906105,292.28802
1906115,227.0086
1906125,238.37051
1906135,222.13638
1906145,241.28893
1906155,274.06982
1906165,268.52765
1906175,233.39548
1906185,206.9914
1906195,204.8393
1906205,227.72852
1906215,246.81012
1906225,296.68063
1906235,267.94818
1906245,257.10443
1906255,225.48543
1906265,219.22498
1906275,242.94272
1906285,251.3327
1906295,272.69644
1906305,260.1033
1907015,242.31181
1907025,249.86575
1907035,256.82767
1907045,249.38193
1907055,270.25494
1907065,278.3457
1907075,274.89917
1907085,252.90283
1907095,259.6679
1907115,246.89346
1907125,270.25494
1907135,285.0389
1907145,280.55634
1907155,257.1902
1907165,251.96768
1907175,256.82767
1907185,243.42642
1907195,270.8888
1907205,277.5754
1907215,277.7342
