id,Umsatz
1808015,292.7259
1808025,270.06607
1808035,285.0697
1808045,303.32867
1808055,310.7887
1808065,283.4618
1808075,264.487
1808085,276.56296
1808095,292.1059
1808105,310.88013
1808115,327.0067
1808125,312.4307
1808135,281.91022
1808145,281.71368
1808155,291.17075
1808165,270.06607
1808175,309.2394
1808185,331.2956
1808195,326.1999
1808205,288.08658
1808215,282.4321
1808225,274.76175
1808235,297.49088
1808245,314.29672
1808255,351.4445
1808265,332.79324
1808275,286.31317
1808285,281.93704
1808295,298.22256
1808305,294.69937
1808315,315.13333
1809015,262.0058
1809025,265.76022
1809035,218.14078
1809045,218.06436
1809055,230.02026
1809065,226.85004
1809075,239.0873
1809085,257.77676
1809095,242.9634
1809105,222.35876
1809115,207.68187
1809125,222.73526
1809135,226.50572
1809145,241.42723
1809155,262.0058
1809165,265.0189
1809175,222.12515
1809185,217.51471
1809195,231.15504
1809205,225.71492
1809215,237.16904
1809225,262.0058
1809235,242.9634
1809245,222.35876
1809255,218.90788
1809265,223.56158
1809275,222.22603
1809285,241.42723
1809295,257.77676
1809305,265.0189
1810015,224.49786
1810025,211.25871
1810035,271.3238
1810045,219.51147
1810055,245.1787
1810065,259.18628
1810075,259.07416
1810085,223.89725
1810095,224.70554
1810105,236.6797
1810115,227.4759
1810125,247.46486
1810135,251.90822
1810145,259.8745
1810155,228.97227
1810165,219.66823
1810175,240.89409
1810185,227.4759
1810195,245.1787
1810205,259.8784
1810215,262.93597
1810225,220.58685
1810235,206.92416
1810245,230.17421
1810255,219.18524
1810265,235.04173
1810275,224.49219
1810285,252.20378
1810295,192.11044
1810305,207.54762
1811015,205.89954
1811025,206.29128
1811035,233.59723
1811045,218.84348
1811055,188.13919
1811065,183.36847
1811075,210.21361
1811085,200.01663
1811095,189.12936
1811105,224.09471
1811115,223.22899
1811125,188.44254
1811135,184.83011
1811145,188.55365
1811155,205.89954
1811165,206.07515
1811175,233.59723
1811185,218.84348
1811195,183.71114
1811205,183.95648
1811215,188.55365
1811225,184.24435
1811235,189.35983
1811245,203.43332
1811255,218.84348
1811265,170.37512
1811275,172.25592
1811285,199.8702
1811295,171.06915
1811305,186.42
1812015,183.61664
1812025,205.94044
1812035,167.40718
1812045,198.35648
1812055,204.05392
1812065,172.32457
1812075,176.47675
