id,Umsatz
1808015,274.39676
1808025,257.25766
1808035,272.44855
1808045,311.74185
1808055,310.9903
1808065,273.09396
1808075,258.7177
1808085,264.21634
1808095,272.4293
1808105,285.80206
1808115,336.36304
1808125,318.56155
1808135,281.26962
1808145,274.86703
1808155,283.00082
1808165,257.25766
1808175,294.4608
1808185,324.02374
1808195,340.71985
1808205,307.44406
1808215,265.10742
1808225,265.59268
1808235,272.1159
1808245,290.6532
1808255,375.47864
1808265,340.88586
1808275,300.53427
1808285,283.43518
1808295,269.56915
1808305,295.49222
1808315,293.62775
1809015,268.21634
1809025,271.87244
1809035,241.83409
1809045,243.4895
1809055,242.17072
1809065,234.3185
1809075,250.1739
1809085,276.28214
1809095,264.073
1809105,237.02661
1809115,238.38058
1809125,237.05006
1809135,234.0909
1809145,248.89201
1809155,268.21634
1809165,271.52563
1809175,237.05557
1809185,238.3891
1809195,237.28287
1809205,233.94998
1809215,246.49312
1809225,268.21634
1809235,264.073
1809245,237.02661
1809255,238.85057
1809265,237.22157
1809275,238.59106
1809285,248.89201
1809295,276.28214
1809305,271.52563
1810015,240.25049
1810025,228.14778
1810035,262.86163
1810045,243.471
1810055,252.86563
1810065,265.5971
1810075,268.62463
1810085,240.01587
1810095,242.6446
1810105,241.31242
1810115,236.7527
1810125,257.53128
1810135,265.7499
1810145,267.54572
1810155,245.24954
1810165,244.86603
1810175,246.22325
1810185,236.7527
1810195,252.86563
1810205,267.09125
1810215,270.1853
1810225,236.67003
1810235,237.06215
1810245,237.0454
1810255,237.29031
1810265,245.45328
1810275,249.7008
1810285,261.02548
1810295,215.19714
1810305,237.49522
1811015,214.48273
1811025,218.22745
1811035,224.8515
1811045,243.16632
1811055,213.35484
1811065,199.65334
1811075,212.60074
1811085,211.65906
1811095,202.24203
1811105,233.64163
1811115,249.71292
1811125,213.13129
1811135,212.02708
1811145,195.35995
1811155,214.48273
1811165,208.50839
1811175,224.8515
1811185,243.16632
1811195,201.3217
1811205,199.70029
1811215,195.35995
1811225,199.15424
1811235,202.40178
1811245,214.55386
1811255,243.16632
1811265,183.24518
1811275,185.36394
1811285,206.09554
1811295,188.39885
1811305,207.80528
1812015,192.99261
1812025,219.00633
1812035,177.7415
1812045,200.40941
1812055,199.61192
1812065,185.9226
1812075,190.66035
1812085,197.3739
1812095,219.00633
1812105,191.11017
1812115,183.48282
1812125,181.8221
1812135,185.03307
1812145,183.42642
1812155,192.99261
1812165,220.57014
1812175,174.9931
1812185,183.48282
1812195,181.8221
1812205,185.03307
1812215,193.88739
1812225,198.61134
1812235,211.58
1812245,215.44072
1812275,237.87979
1812285,250.24728
1812295,266.76935
1812305,287.99844
1812315,328.59076
1901025,245.82559
1901035,236.04085
1901045,230.84445
1901055,267.96088
1901065,258.2829
1901075,210.02528
1901085,218.6047
1901095,211.17404
1901105,214.73915
1901115,221.06221
1901125,246.41753
1901135,257.06958
1901145,228.34674
1901155,214.57884
1901165,209.33078
1901175,214.73915
1901185,237.96298
1901195,267.96088
1901205,278.0346
1901215,214.45654
1901225,235.48259
1901235,234.95514
1901245,224.13562
1901255,230.01135
1901265,246.41753
1901275,254.35474
1901285,206.58392
1901295,217.87291
1901305,234.62578
1901315,214.73915
1902015,228.65535
1902025,244.29971
1902035,283.2178
1902045,205.52559
1902055,213.1268
1902065,210.01677
1902075,213.25989
1902085,220.41139
1902095,246.16501
1902105,251.13933
1902115,227.4276
1902125,236.43877
1902135,207.862
1902145,232.74068
1902155,247.77373
1902165,270.87607
1902175,279.94714
1902185,230.81691
1902195,213.1268
1902205,207.862
1902215,213.25989
1902225,243.18307
1902235,244.29971
1902245,283.2178
1902255,227.4276
1902265,240.66997
1902275,238.19952
1902285,232.74068
1903015,223.71649
1903025,240.02623
1903035,246.48486
1903045,218.61455
1903055,228.57347
1903065,216.97496
1903075,219.0125
1903085,232.82828
1903095,240.02623
1903105,252.06912
1903115,230.80385
1903125,218.29382
1903135,216.91837
1903145,218.79
1903155,223.71649
1903165,231.20284
1903175,266.78067
1903185,230.80385
1903195,228.57347
1903215,233.8029
1903225,223.71649
1903235,255.02895
1903245,273.28308
1903255,230.80385
1903265,218.29382
1903275,216.97496
1903285,233.8029
1903295,242.85074
1903305,256.20087
1903315,273.28308
1904015,232.82222
1904025,237.55159
1904045,226.97835
1904055,251.53923
1904065,263.6221
1904075,266.83664
1904085,237.80476
1904095,234.55923
1904105,232.442
1904115,226.97835
1904125,240.65097
1904135,250.00972
1904145,254.66792
1904155,237.80476
1904165,234.55923
1904175,240.19147
1904185,289.16388
1904205,337.81964
1904215,290.26242
1904225,258.66733
1904235,237.55159
1904245,236.48767
1904255,233.17851
1904265,246.80995
1904275,266.63995
1904285,255.40935
1904295,236.13724
1904305,235.68701
1905025,216.8955
1905035,224.457
1905045,255.35715
1905055,267.24414
1905065,232.65843
1905075,228.08278
1905085,231.39532
1905095,236.3122
1905105,245.73491
1905115,264.49228
1905125,267.24414
1905135,235.80478
1905145,235.84976
1905155,236.0573
1905165,236.83629
1905175,245.73491
1905185,265.6294
1905195,267.06683
1905205,235.83804
1905215,235.3493
1905225,233.23883
1905235,232.87001
1905245,247.8518
1905255,270.91455
1905265,261.07
1905275,228.31677
1905285,235.84976
1905295,236.1195
1905305,278.15704
1905315,245.73491
1906015,274.35617
1906025,267.86887
1906035,248.6818
1906045,248.17043
1906055,248.52264
1906065,246.13725
1906075,254.81964
1906085,274.35617
1906095,292.1433
1906105,295.2764
1906115,244.1368
1906125,250.72537
1906135,244.24644
1906145,252.64204
1906155,283.50137
1906165,268.85126
1906175,248.17682
1906185,234.00865
1906195,237.37549
1906205,246.36137
1906215,260.17935
1906225,304.37064
1906235,275.7299
1906245,260.2637
1906255,243.72313
1906265,243.45053
1906275,255.89069
1906285,266.1161
1906295,288.0532
1906305,263.89957
1907015,268.89835
1907025,266.32153
1907035,268.66907
1907045,263.28836
1907055,279.88525
1907065,287.16815
1907075,282.01166
1907085,275.06793
1907095,263.00665
1907115,263.57092
1907125,279.88525
1907135,285.89606
1907145,280.93234
1907155,274.2212
1907165,261.75497
1907175,268.66907
1907185,266.9037
1907195,279.2583
1907205,280.5857
1907215,281.37616
1907225,274.2212
1907235,253.68396
1907245,261.35413
1907255,256.16873
1907265,267.4983
1907275,287.1434
1907285,285.92926
1907295,267.28482
1907305,267.6338
