id,Umsatz
1808015,276.5333
1808025,269.95593
1808035,267.5597
1808045,300.44495
1808055,314.724
1808065,273.6648
1808075,265.01825
1808085,268.5078
1808095,284.44125
1808105,291.44385
1808115,327.00586
1808125,314.09824
1808135,283.2706
1808145,277.7269
1808155,288.4164
1808165,269.95593
1808175,296.34616
1808185,324.13947
1808195,326.2422
1808205,286.95053
1808215,269.8577
1808225,259.64716
1808235,288.47415
1808245,294.60986
1808255,352.1419
1808265,319.45023
1808275,282.00443
1808285,281.51584
1808295,275.74487
1808305,290.64987
1808315,296.95398
1809015,261.06943
1809025,265.56918
1809035,223.88486
1809045,231.51169
1809055,232.68918
1809065,239.58893
1809075,235.33847
1809085,271.57043
1809095,260.77322
1809105,215.90228
1809115,216.6133
1809125,229.30621
1809135,226.31447
1809145,233.61035
1809155,261.06943
1809165,267.63953
1809175,217.27797
1809185,218.89285
1809195,222.91325
1809205,224.13934
1809215,229.92805
1809225,261.06943
1809235,260.77322
1809245,215.90228
1809255,224.1006
1809265,231.57375
1809275,231.97821
1809285,233.61035
1809295,271.57043
1809305,267.63953
1810015,224.50607
1810025,220.5818
1810035,276.42648
1810045,236.73543
1810055,237.05887
1810065,258.72046
1810075,265.61624
1810085,225.88174
1810095,231.96072
1810105,232.57347
1810115,232.17908
1810125,243.36978
1810135,254.24312
1810145,271.39178
1810155,227.80458
1810165,231.36476
1810175,235.07306
1810185,232.17908
1810195,237.05887
1810205,259.2548
1810215,266.11688
1810225,214.92743
1810235,224.36276
1810245,225.37753
1810255,228.40686
1810265,228.51299
1810275,261.70227
1810285,253.4367
1810295,207.2999
1810305,226.5631
1811015,214.59369
1811025,207.13782
1811035,226.19788
1811045,234.8757
1811055,192.3125
1811065,192.36723
1811075,215.1962
1811085,208.98608
1811095,197.2516
1811105,222.86427
1811115,233.3751
1811125,190.60284
1811135,199.05453
1811145,190.02219
1811155,214.59369
1811165,211.6121
1811175,226.19788
1811185,234.8757
1811195,184.61465
1811205,192.48238
1811215,190.02219
1811225,191.79337
1811235,196.64221
1811245,214.58939
1811255,234.8757
1811265,161.03938
1811275,177.8551
1811285,182.89854
1811295,171.28578
1811305,189.21217
1812015,197.41925
1812025,215.42911
1812035,179.81787
1812045,188.11252
1812055,185.8492
1812065,178.49358
1812075,196.25375
1812085,201.19208
1812095,215.42911
1812105,179.7652
1812115,175.40247
1812125,172.32996
1812135,176.96716
1812145,178.4612
1812155,197.41925
1812165,209.31587
1812175,167.92328
1812185,175.40247
1812195,172.32996
1812205,176.96716
1812215,191.03455
1812225,205.07219
1812235,218.03958
1812245,214.11191
1812275,388.05093
1812285,390.56723
1812295,439.292
1812305,446.7326
1812315,915.63055
1901025,222.10173
1901035,225.78677
1901045,220.49803
1901055,259.26053
1901065,267.7397
1901075,207.81036
1901085,206.18524
1901095,213.74454
1901105,213.11504
1901115,217.60526
1901125,263.27066
1901135,262.7889
1901145,207.93672
1901155,210.48407
1901165,212.58847
1901175,213.11504
1901185,228.59328
1901195,259.26053
1901205,260.0581
1901215,210.77318
1901225,211.9701
1901235,226.37123
1901245,223.24144
1901255,233.02016
1901265,263.27066
1901275,249.2186
1901285,206.323
1901295,204.55359
1901305,214.19102
1901315,213.11504
1902015,230.2519
1902025,259.57504
1902035,265.2232
1902045,204.41107
1902055,208.65471
1902065,212.42638
1902075,211.2295
1902085,216.55559
1902095,263.19193
1902105,245.59698
1902115,203.9344
1902125,211.8505
1902135,211.00987
1902145,216.50883
1902155,240.24796
1902165,268.55942
1902175,270.47
1902185,216.36855
1902195,208.65471
1902205,211.00987
1902215,211.2295
1902225,228.58617
1902235,259.57504
1902245,265.2232
1902255,203.9344
1902265,225.15385
1902275,229.17421
1902285,216.50883
1903015,207.19736
1903025,234.7761
1903035,235.51767
1903045,202.07057
1903055,212.07666
1903065,204.29555
1903075,206.7063
1903085,220.1293
1903095,234.7761
