id,Umsatz
1808012,465.05707
1808022,488.8739
1808032,488.8739
1808042,600.03546
1808052,529.57227
1808062,465.05707
1808072,484.3504
1808082,488.8739
1808092,453.42334
1808102,447.6876
1808112,545.685
1808122,503.05304
1808132,457.2166
1808142,450.72534
1808152,457.2166
1808162,488.8739
1808172,451.4821
1808182,590.13965
1808192,470.32397
1808202,351.5643
1808212,345.82697
1808222,378.94077
1808232,350.75903
1808242,345.82697
1808252,484.3192
1808262,457.26736
1808272,347.80478
1808282,347.80478
1808292,344.68268
1808302,345.66177
1808312,347.56268
1809012,382.5214
1809022,404.43887
1809032,305.0494
1809042,305.0494
1809052,304.64362
1809062,316.30518
1809072,303.81378
1809082,381.6782
1809092,412.15344
1809102,293.12775
1809112,283.7357
1809122,301.28314
1809132,301.71518
1809142,293.12775
1809152,382.5214
1809162,419.34375
1809172,301.71518
1809182,313.7788
1809192,313.7788
1809202,293.12775
1809212,283.7357
1809222,382.5214
1809232,412.15344
1809242,293.12775
1809252,293.12775
1809262,303.81378
1809272,303.81378
1809282,293.12775
1809292,381.6782
1809302,455.3519
1810012,340.39496
1810022,305.7102
1810032,466.96756
1810042,343.6186
1810052,340.39496
1810062,435.6579
1810072,409.28647
1810082,343.09216
1810092,346.24887
1810102,340.39496
1810112,340.39496
1810122,376.58228
1810132,504.71735
1810142,470.89563
1810152,376.58228
1810162,343.6186
1810172,376.58228
1810182,340.39496
1810192,317.8947
1810202,380.1812
1810212,416.66248
1810222,291.5568
1810232,299.79236
1810242,300.15073
1810252,299.79236
1810262,282.6453
1810272,299.04156
1810282,364.99738
1810292,246.19421
1810302,302.18576
1811012,297.10852
1811022,305.02896
1811032,304.40808
1811042,375.87146
1811052,307.9118
1811062,248.1708
1811072,314.73486
1811082,342.9787
1811092,248.1708
1811102,387.3532
1811112,410.04266
1811122,305.02896
1811132,305.02896
1811142,249.89629
1811152,297.10852
1811162,232.4695
1811172,304.40808
1811182,375.87146
1811192,234.05498
1811202,249.89629
1811212,249.89629
1811222,249.89629
1811232,249.89629
1811242,306.14578
1811252,375.87146
1811262,216.8672
1811272,216.8672
1811282,217.51874
1811292,216.8672
1811302,217.51874
1812012,254.48135
1812022,355.71722
1812032,201.50594
1812042,198.7619
1812052,202.66101
1812062,201.76973
1812072,193.84946
1812082,276.4617
1812092,355.71722
1812102,198.7619
1812112,203.18849
1812122,203.18849
1812132,203.18849
1812142,203.18849
1812152,254.48135
1812162,358.73987
1812172,203.18849
1812182,203.18849
1812192,203.18849
1812202,241.63144
1812212,276.8567
1812222,331.64917
1812232,388.8363
1812242,312.72003
1812272,312.72003
1812282,312.72003
1812292,367.3729
1812302,406.8305
1812312,473.50555
1901022,290.83826
1901032,275.99847
1901042,273.00497
1901052,248.09306
1901062,339.75726
1901072,189.03407
1901082,189.57758
1901092,189.03407
1901102,199.18819
1901112,199.18819
1901122,248.81787
1901132,325.28937
1901142,175.63008
1901152,199.18819
1901162,199.18819
1901172,199.18819
1901182,175.63008
1901192,248.09306
1901202,324.17218
1901212,176.47017
1901222,175.63008
1901232,166.31891
1901242,176.47017
1901252,176.47017
1901262,248.81787
1901272,314.14838
1901282,199.18819
1901292,190.35117
1901302,189.9471
1901312,199.18819
1902012,216.13277
1902022,277.78455
1902032,365.86835
1902042,216.96634
1902052,216.96634
1902062,216.17308
1902072,216.96634
1902082,215.27383
1902092,286.36453
1902102,353.5295
1902112,211.95886
1902122,211.95886
1902132,216.96634
1902142,211.95886
1902152,239.64883
1902162,312.56012
1902172,364.05188
1902182,239.64883
1902192,216.96634
1902202,216.96634
1902212,216.96634
1902222,211.95886
1902232,277.78455
1902242,365.86835
1902252,211.95886
1902262,239.64883
1902272,239.64883
1902282,211.95886
1903012,249.89629
1903022,306.14578
1903032,360.49963
1903042,234.05498
1903052,232.4695
1903062,249.89629
1903072,231.48412
1903082,237.58968
1903092,306.14578
1903102,385.1797
1903112,232.4695
1903122,249.89629
1903132,234.05498
1903142,249.89629
1903152,249.89629
1903162,303.09134
1903172,361.5624
1903182,232.4695
1903192,232.4695
1903212,305.02896
1903222,249.89629
1903232,387.3532
1903242,375.17163
1903252,232.4695
1903262,249.89629
1903272,249.89629
1903282,305.02896
1903292,297.10852
1903302,388.4193
1903312,375.17163
1904012,226.08736
1904022,330.93457
1904042,303.60913
1904052,341.0463
1904062,424.44818
1904072,417.79678
1904082,291.50845
1904092,291.50845
1904102,291.50845
1904112,303.60913
1904122,291.50845
1904132,371.13904
1904142,381.23676
1904152,291.50845
1904162,291.50845
1904172,338.38196
1904182,430.57648
1904202,539.8034
1904212,516.87946
1904222,440.44873
1904232,289.20758
1904242,297.81522
1904252,289.20758
1904262,297.65683
1904272,389.47534
1904282,369.6095
1904292,289.20758
1904302,297.65683
1905022,243.6074
1905032,243.6074
1905042,289.57892
1905052,395.05518
1905062,225.59619
1905072,225.09242
1905082,285.7223
1905092,298.45395
1905102,298.45395
1905112,374.45325
1905122,395.05518
1905132,296.31354
1905142,304.55737
1905152,287.64618
1905162,304.55737
1905172,298.45395
1905182,387.16156
1905192,409.95068
1905202,305.271
1905212,280.122
1905222,298.45395
1905232,287.64618
1905242,314.39154
1905252,374.00452
1905262,393.47998
1905272,298.45395
1905282,304.55737
1905292,296.31354
1905302,422.38446
1905312,298.45395
1906012,440.30618
1906022,464.52966
1906032,345.8253
1906042,338.82452
1906052,353.01706
1906062,358.78784
1906072,338.03665
1906082,440.30618
1906092,514.6379
1906102,468.0896
1906112,336.11908
1906122,338.82452
1906132,357.62173
1906142,324.26343
1906152,473.4278
1906162,460.8971
1906172,353.01706
1906182,352.4282
1906192,350.80896
1906202,338.81097
1906212,338.82452
1906222,534.49677
1906232,519.0698
1906242,417.3771
1906252,407.6775
1906262,394.67645
1906272,395.92694
1906282,373.8896
1906292,553.4308
1906302,563.139
1907012,476.9626
1907022,464.40036
1907032,459.9296
1907042,465.7133
1907052,464.40036
1907062,549.45123
1907072,516.0495
1907082,464.40036
1907092,472.3172
1907112,464.40036
1907122,464.40036
1907132,563.9184
1907142,530.33234
1907152,465.7133
1907162,462.64267
1907172,459.9296
1907182,477.4364
1907192,488.1541
1907202,577.7355
1907212,523.06964
1907222,465.7133
1907232,507.77524
1907242,507.77524
1907252,507.0329
1907262,499.35748
1907272,594.04767
1907282,573.9992
1907292,499.70142
1907302,476.54703
