id,Umsatz
1808012,483.5909
1808022,478.8096
1808032,478.8096
1808042,584.99133
1808052,612.3874
1808062,483.5909
1808072,469.65256
1808082,478.8096
1808092,483.60687
1808102,441.93262
1808112,533.1238
1808122,588.79956
1808132,453.18652
1808142,467.29266
1808152,453.18652
1808162,478.8096
1808172,434.73523
1808182,561.6882
1808192,544.82227
1808202,362.72546
1808212,355.72528
1808222,400.37808
1808232,397.41013
1808242,355.72528
1808252,481.76712
1808262,530.27875
1808272,345.09082
1808282,345.09082
1808292,381.0759
1808302,347.53714
1808312,363.89133
1809012,381.18347
1809022,438.28476
1809032,300.08258
1809042,300.08258
1809052,307.86057
1809062,336.9896
1809072,271.5383
1809082,372.09085
1809092,438.00275
1809102,275.5899
1809112,265.11005
1809122,262.858
1809132,283.62094
1809142,275.5899
1809152,381.18347
1809162,447.12448
1809172,283.62094
1809182,292.46573
1809192,292.46573
1809202,275.5899
1809212,265.11005
1809222,381.18347
1809232,438.00275
1809242,275.5899
1809252,275.5899
1809262,271.5383
1809272,271.5383
1809282,275.5899
1809292,372.09085
1809302,481.5894
1810012,359.01184
1810022,295.28073
1810032,513.3322
1810042,342.2353
1810052,359.01184
1810062,463.5032
1810072,514.26807
1810082,366.83847
1810092,374.7835
1810102,359.01184
1810112,359.01184
1810122,383.64157
1810132,498.20193
1810142,549.07117
1810152,383.64157
1810162,342.2353
1810172,383.64157
1810182,359.01184
1810192,315.79782
1810202,378.25778
1810212,444.16388
1810222,272.95782
1810232,260.10654
1810242,281.02014
1810252,260.10654
1810262,262.37302
1810272,318.58954
1810282,395.01633
1810292,208.84087
1810302,268.8152
1811012,282.10294
1811022,269.81238
1811032,337.92255
1811042,385.90604
1811052,278.35938
1811062,227.91138
1811072,299.00595
1811082,314.41815
1811092,227.91138
1811102,379.36206
1811112,436.46826
1811122,269.81238
1811132,269.81238
1811142,218.80487
1811152,282.10294
1811162,235.2485
1811172,337.92255
1811182,385.90604
1811192,223.11278
1811202,218.80487
1811212,218.80487
1811222,218.80487
1811232,218.80487
1811242,328.81604
1811252,385.90604
1811262,201.49088
1811272,201.49088
1811282,219.31183
1811292,201.49088
1811302,219.31183
1812012,302.9205
1812022,359.44724
1812032,247.31285
1812042,222.63718
1812052,238.75764
1812062,211.17937
1812072,251.1097
1812082,322.64526
1812092,359.44724
1812102,222.63718
1812112,203.83171
1812122,203.83171
1812132,203.83171
1812142,203.83171
1812152,302.9205
1812162,361.61154
1812172,203.83171
1812182,203.83171
1812192,203.83171
1812202,241.34119
1812212,294.75345
1812222,380.8876
1812232,439.61453
1812242,304.55704
1812272,304.55704
1812282,304.55704
1812292,405.59027
1812302,474.41513
1812312,461.52795
1901022,300.8596
1901032,307.55124
1901042,240.91628
1901052,307.55835
1901062,371.61212
1901072,221.54921
1901082,214.0147
1901092,221.54921
1901102,196.56819
1901112,196.56819
1901122,297.09717
1901132,353.8379
1901142,223.47653
1901152,196.56819
1901162,196.56819
1901172,196.56819
1901182,223.47653
1901192,307.55835
1901202,366.12405
1901212,198.5944
1901222,223.47653
1901232,218.26965
1901242,198.5944
1901252,198.5944
1901262,297.09717
1901272,355.96942
1901282,196.56819
1901292,206.78156
1901302,215.36243
1901312,196.56819
1902012,223.0518
1902022,329.1359
1902032,395.31607
1902042,223.0462
1902052,223.0462
1902062,246.24815
1902072,223.0462
1902082,231.43161
1902092,337.95828
1902102,387.62802
1902112,239.98752
1902122,239.98752
1902132,223.0462
1902142,239.98752
1902152,285.7321
1902162,388.80106
1902172,445.88174
1902182,285.7321
1902192,223.0462
1902202,223.0462
1902212,223.0462
1902222,239.98752
1902232,329.1359
1902242,395.31607
1902252,239.98752
1902262,285.7321
1902272,285.7321
1902282,239.98752
1903012,218.80487
1903022,328.81604
1903032,387.31018
1903042,223.11278
1903052,235.2485
1903062,218.80487
1903072,231.89896
1903082,251.65274
1903092,328.81604
1903102,394.7271
1903112,235.2485
1903122,218.80487
1903132,223.11278
1903142,218.80487
1903152,218.80487
1903162,330.2428
1903172,396.39597
1903182,235.2485
1903192,235.2485
1903212,269.81238
1903222,218.80487
1903232,379.36206
1903242,395.01297
1903252,235.2485
1903262,218.80487
1903272,218.80487
1903282,269.81238
1903292,282.10294
1903302,388.5001
1903312,395.01297
1904012,223.1232
1904022,313.82697
1904042,291.18655
1904052,363.0912
1904062,451.1356
1904072,518.2186
1904082,310.7286
1904092,310.7286
1904102,310.7286
1904112,291.18655
1904122,310.7286
1904132,390.60773
1904142,456.7122
1904152,310.7286
1904162,310.7286
1904172,355.18588
1904182,496.5205
1904202,608.1973
1904212,663.3776
1904222,473.689
1904232,269.05658
1904242,277.14966
1904252,269.05658
1904262,256.00116
1904272,382.7172
1904282,380.1383
1904292,269.05658
1904302,256.00116
1905022,201.80135
1905032,201.80135
1905042,320.99588
1905052,428.0373
1905062,228.94598
1905072,220.68059
1905082,264.24933
1905092,261.99982
1905102,261.99982
1905112,370.94946
1905122,428.0373
1905132,274.71625
1905142,270.70322
1905152,266.5227
1905162,270.70322
1905172,261.99982
1905182,379.76874
1905192,436.88135
1905202,282.96738
1905212,255.56068
1905222,261.99982
1905232,266.5227
1905242,291.81207
1905252,361.85196
1905262,429.1762
1905272,261.99982
1905282,270.70322
1905292,274.71625
1905302,428.56244
1905312,261.99982
1906012,437.76544
1906022,541.6977
1906032,351.17548
1906042,327.54184
1906052,381.3352
1906062,368.54144
1906072,355.99237
1906082,437.76544
1906092,651.1786
1906102,497.0849
1906112,330.3148
1906122,327.54184
1906132,389.124
1906142,367.4128
1906152,465.6063
1906162,536.12115
1906172,381.3352
1906182,370.5574
1906192,359.71198
1906202,336.3586
1906212,327.54184
1906222,513.5325
1906232,603.34265
1906242,423.4146
1906252,432.09976
1906262,407.36404
1906272,376.83737
1906282,420.63785
1906292,560.38104
1906302,638.5405
1907012,490.78952
1907022,449.3845
1907032,466.15387
1907042,457.1515
1907052,449.3845
1907062,553.735
1907072,603.78986
1907082,449.3845
1907092,472.70737
1907112,449.3845
1907122,449.3845
1907132,571.40845
1907142,620.1052
1907152,457.1515
1907162,474.02448
1907172,466.15387
1907182,473.99854
1907192,506.48807
1907202,590.851
1907212,611.9471
1907222,457.1515
1907232,503.02023
1907242,503.02023
1907252,494.02805
1907262,486.4579
1907272,610.0108
1907282,660.8173
1907292,477.08746
1907302,481.75504
