id,Umsatz
1808015,277.76028
1808025,258.20477
1808035,266.2051
1808045,284.6591
1808055,311.622
1808065,272.0733
1808075,267.77374
1808085,260.6974
1808095,279.98157
1808105,295.65054
1808115,325.34406
1808125,319.83014
1808135,272.7672
1808145,282.9364
1808155,277.30127
1808165,258.20477
1808175,300.01865
1808185,306.038
1808195,325.07498
1808205,291.96176
1808215,285.44357
1808225,251.99501
1808235,288.19168
1808245,298.964
1808255,335.23914
1808265,335.5766
1808275,291.87222
1808285,289.94562
1808295,279.02292
1808305,306.39185
1808315,299.35156
1809015,246.7628
1809025,257.6763
1809035,208.08228
1809045,215.03058
1809055,212.3966
1809065,229.2839
1809075,228.54941
1809085,250.44722
1809095,250.56766
1809105,216.65671
1809115,227.59262
1809125,222.2347
1809135,218.3827
1809145,225.63309
1809155,246.7628
1809165,258.4366
1809175,217.06969
1809185,221.7831
1809195,222.73804
1809205,217.88866
1809215,237.1083
1809225,246.7628
1809235,250.56766
1809245,216.65671
1809255,221.37209
1809265,222.59021
1809275,214.7445
1809285,225.63309
1809295,250.44722
1809305,258.4366
1810015,228.35979
1810025,203.90503
1810035,267.73825
1810045,215.94324
1810055,238.70996
1810065,247.19963
1810075,262.12158
1810085,229.55028
1810095,237.63507
1810105,235.34152
1810115,230.39243
1810125,235.15631
1810135,237.92981
1810145,258.7878
1810155,220.85767
1810165,226.37915
1810175,228.76033
1810185,230.39243
1810195,238.70996
1810205,244.24106
1810215,256.16687
1810225,214.57037
1810235,214.82896
1810245,220.0711
1810255,212.51517
1810265,234.92026
1810275,204.02458
1810285,259.42664
1810295,178.74696
1810305,215.23982
1811015,201.8409
1811025,199.96196
1811035,210.39502
1811045,217.62657
1811055,193.40143
1811065,173.32733
1811075,202.89813
1811085,195.36243
1811095,169.70468
1811105,213.34329
1811115,224.98991
1811125,193.56317
1811135,192.03009
1811145,171.41245
1811155,201.8409
1811165,196.03845
1811175,210.39502
1811185,217.62657
1811195,169.68234
1811205,173.10115
1811215,171.41245
1811225,173.70775
1811235,168.80318
1811245,178.17163
1811255,217.62657
1811265,156.39993
1811275,161.15549
1811285,186.82547
1811295,161.41649
1811305,182.14589
1812015,176.89339
1812025,215.80241
1812035,168.98416
1812045,203.22697
1812055,205.47882
1812065,174.5363
1812075,183.66855
1812085,184.53108
1812095,215.80241
1812105,195.30693
1812115,172.454
1812125,168.94505
1812135,173.13026
1812145,166.31894
1812155,176.89339
1812165,219.86978
1812175,163.65466
1812185,172.454
1812195,168.94505
1812205,173.13026
1812215,190.16577
1812225,188.82138
1812235,223.9308
1812245,201.78073
1812275,239.6147
1812285,247.5686
1812295,255.04413
1812305,306.7745
1812315,288.9334
1901025,243.22556
1901035,250.87953
1901045,222.29927
1901055,252.36075
1901065,254.25569
1901075,201.99443
1901085,210.14503
1901095,208.08633
1901105,203.48203
1901115,204.34154
1901125,225.93779
1901135,252.71356
1901145,228.51224
1901155,201.57971
1901165,199.68298
1901175,203.48203
1901185,232.6969
1901195,252.36075
1901205,289.05273
1901215,209.58633
1901225,236.31285
1901235,233.73941
1901245,223.85834
1901255,224.99756
1901265,225.93779
1901275,257.565
1901285,192.95354
1901295,209.28427
1901305,230.39783
1901315,203.48203
1902015,220.63579
1902025,221.38158
1902035,280.67603
1902045,189.30403
1902055,197.93292
1902065,204.75616
1902075,199.28079
1902085,201.54002
1902095,222.68771
