id,Umsatz
1808015,261.52884
1808025,269.8656
1808035,283.21198
1808045,302.04697
1808055,304.05917
1808065,258.48654
1808075,262.29565
1808085,276.34323
1808095,263.6121
1808105,300.69568
1808115,356.0095
1808125,336.27768
1808135,274.249
1808145,249.4633
1808155,291.7417
1808165,269.8656
1808175,318.23453
1808185,307.20285
1808195,318.928
1808205,326.1965
1808215,286.32178
1808225,274.05142
1808235,288.7598
1808245,321.55264
1808255,396.15305
1808265,336.5967
1808275,319.21292
1808285,297.57825
1808295,278.69815
1808305,332.22324
1808315,323.48807
1809015,249.0047
1809025,251.0274
1809035,196.64615
1809045,202.50665
1809055,200.46765
1809065,223.40765
1809075,243.2196
1809085,277.71774
1809095,256.79816
1809105,212.98987
1809115,228.57806
1809125,217.48396
1809135,220.34288
1809145,230.81705
1809155,249.0047
1809165,255.14783
1809175,217.36761
1809185,221.22787
1809195,211.73972
1809205,218.6154
1809215,251.15268
1809225,249.0047
1809235,256.79816
1809245,212.98987
1809255,215.28368
1809265,217.78065
1809275,230.85014
1809285,230.81705
1809295,277.71774
1809305,255.14783
1810015,205.20476
1810025,211.3768
1810035,252.19336
1810045,226.17557
1810055,226.2139
1810065,219.20233
1810075,230.65744
1810085,206.01888
1810095,219.24176
1810105,228.1658
1810115,216.51122
1810125,216.21454
1810135,233.52222
1810145,230.73907
1810155,184.79816
1810165,218.11728
1810175,206.84833
1810185,216.51122
1810195,226.2139
1810205,246.16733
1810215,252.37259
1810225,210.63371
1810235,208.73611
1810245,218.03737
1810255,227.14845
1810265,249.33424
1810275,244.89534
1810285,254.64452
1810295,203.20322
1810305,209.07098
1811015,204.89297
1811025,225.57727
1811035,205.60388
1811045,237.71072
1811055,208.40805
1811065,181.38971
1811075,200.42474
1811085,230.89313
1811095,205.04225
1811105,223.20227
1811115,245.62317
1811125,207.25876
1811135,196.17017
1811145,202.22386
1811155,204.89297
1811165,201.65714
1811175,205.60388
1811185,237.71072
1811195,197.71921
1811205,177.21896
1811215,202.22386
1811225,202.99333
1811235,203.11963
1811245,204.63593
1811255,237.71072
1811265,178.44391
1811275,174.66347
1811285,177.42145
1811295,190.76471
1811305,194.73892
1812015,189.88046
1812025,221.87727
1812035,171.46184
1812045,187.58884
1812055,187.69228
1812065,187.74738
1812075,208.09091
1812085,211.36969
1812095,221.87727
1812105,168.71664
1812115,172.09138
1812125,171.31528
1812135,184.18062
1812145,177.81134
1812155,189.88046
1812165,235.29507
1812175,171.28055
1812185,172.09138
1812195,171.31528
1812205,184.18062
1812215,178.6206
1812225,173.74124
1812235,204.26447
1812245,184.84352
1812275,401.2411
1812285,381.28342
1812295,399.5513
1812305,435.78177
1812315,1233.3755
1901025,229.73767
1901035,217.6484
1901045,221.12973
1901055,244.03427
1901065,258.46732
1901075,206.47348
1901085,217.45818
1901095,212.3157
1901105,211.74884
1901115,211.84479
1901125,241.104
1901135,252.43158
1901145,217.43146
1901155,199.1413
1901165,218.2081
1901175,211.74884
1901185,236.91663
1901195,244.03427
1901205,270.92886
1901215,201.12067
1901225,232.01457
1901235,214.22108
1901245,217.58752
1901255,223.51071
1901265,241.104
1901275,262.4728
1901285,196.2002
1901295,218.13162
1901305,227.30826
1901315,211.74884
1902015,219.73418
1902025,235.63344
1902035,264.9874
1902045,192.26064
1902055,194.96136
1902065,209.09476
1902075,207.57089
1902085,205.22623
1902095,238.04716
1902105,257.83102
1902115,199.27072
1902125,221.43619
1902135,213.90234
1902145,213.23166
1902155,228.88101
1902165,242.54282
1902175,252.29562
1902185,219.95615
1902195,194.96136
1902205,213.90234
1902215,207.57089
1902225,226.96417
1902235,235.63344
1902245,264.9874
1902255,199.27072
1902265,224.23297
1902275,227.10712
1902285,213.23166
1903015,226.38454
1903025,231.84381
1903035,250.64069
1903045,192.92915
1903055,211.46808
1903065,200.25186
1903075,213.24323
1903085,222.60112
1903095,231.84381
1903105,254.27283
1903115,193.07837
1903125,196.33023
1903135,210.60583
1903145,203.67471
1903155,226.38454
1903165,232.18301
1903175,248.6067
1903185,193.07837
1903195,211.46808
1903215,222.13762
1903225,226.38454
1903235,256.0315
1903245,256.91336
1903255,193.07837
1903265,196.33023
1903275,200.25186
1903285,222.13762
1903295,232.36842
1903305,227.03615
1903315,256.91336
1904015,193.13266
1904025,209.93648
1904045,211.02866
1904055,220.366
1904065,216.91248
1904075,229.49747
1904085,184.32474
1904095,207.12396
1904105,211.87659
1904115,211.02866
1904125,219.74869
1904135,228.28091
1904145,238.84082
1904155,184.32474
1904165,207.12396
1904175,225.0404
1904185,315.32755
1904205,339.1932
1904215,276.84042
1904225,225.22615
1904235,209.93648
1904245,214.72263
1904255,212.55191
1904265,239.56943
1904275,244.76682
1904285,242.80934
1904295,207.1332
1904305,206.00925
1905025,204.31427
1905035,214.736
1905045,226.97263
1905055,241.04314
1905065,194.87988
1905075,201.17564
1905085,218.43924
1905095,223.6726
1905105,237.85675
1905115,239.51332
1905125,241.04314
1905135,209.16217
1905145,205.40245
1905155,214.46474
1905165,227.85782
1905175,237.85675
1905185,241.66995
1905195,245.40485
1905205,213.58179
1905215,221.06775
1905225,209.53975
1905235,210.13065
1905245,230.78656
1905255,269.03326
1905265,260.23877
1905275,215.55472
1905285,205.40245
1905295,212.49829
1905305,321.40958
1905315,237.85675
1906015,280.54132
1906025,223.09363
1906035,215.17252
1906045,229.7868
1906055,196.04208
1906065,260.35574
1906075,240.88806
1906085,280.54132
1906095,280.32022
1906105,280.97928
1906115,242.40964
1906125,237.69104
1906135,207.27507
1906145,229.32645
1906155,286.18253
1906165,233.78171
1906175,200.38062
1906185,222.59233
1906195,203.03415
1906205,244.81296
1906215,262.02664
1906225,326.87247
1906235,250.59274
1906245,242.16054
1906255,223.4772
1906265,208.16476
1906275,269.8567
1906285,232.71599
1906295,276.8564
1906305,249.61057
1907015,224.52008
1907025,255.3914
1907035,276.14728
1907045,261.3788
1907055,267.78812
1907065,269.49594
