id,Umsatz
1808015,279.962
1808025,256.08652
1808035,285.11746
1808045,316.38205
1808055,323.1572
1808065,273.4845
1808075,258.81305
1808085,268.94785
1808095,269.52194
1808105,295.72345
1808115,367.17282
1808125,327.40674
1808135,278.17813
1808145,271.85608
1808155,289.448
1808165,256.08652
1808175,296.9315
1808185,312.2181
1808195,338.20703
1808205,286.5912
1808215,274.881
1808225,264.7858
1808235,290.02487
1808245,295.44238
1808255,377.0929
1808265,334.36945
1808275,285.5656
1808285,283.65738
1808295,284.85675
1808305,309.0452
1808315,297.84854
1809015,271.60968
1809025,258.45767
1809035,219.27835
1809045,222.48633
1809055,227.97232
1809065,222.88524
1809075,236.88289
1809085,275.12082
1809095,259.89816
1809105,212.80362
1809115,234.33623
1809125,235.62459
1809135,229.85727
1809145,237.75546
1809155,271.60968
1809165,255.91403
1809175,213.20459
1809185,227.47672
1809195,227.91061
1809205,230.00536
1809215,235.7832
1809225,271.60968
1809235,259.89816
1809245,212.80362
1809255,220.18835
1809265,232.41963
1809275,234.31476
1809285,237.75546
1809295,275.12082
1809305,255.91403
1810015,241.05298
1810025,232.0727
1810035,284.84
1810045,234.04071
1810055,256.06265
1810065,271.4747
1810075,260.69748
1810085,244.06535
1810095,237.5639
1810105,246.44505
1810115,238.98355
1810125,257.5312
1810135,267.40033
1810145,253.42603
1810155,242.44205
1810165,234.45143
1810175,248.349
1810185,238.98355
1810195,256.06265
1810205,269.85837
1810215,253.87128
1810225,211.88261
1810235,223.4236
1810245,227.22874
1810255,234.50424
1810265,235.08687
1810275,245.45454
1810285,261.60278
1810295,197.16035
1810305,224.05383
1811015,197.75392
1811025,201.21367
1811035,229.72922
1811045,246.6933
1811055,202.21982
1811065,188.62509
1811075,203.1806
1811085,197.08286
1811095,196.4792
1811105,243.38272
1811115,261.32556
1811125,206.02025
1811135,199.10562
1811145,200.41006
1811155,197.75392
1811165,208.74165
1811175,229.72922
1811185,246.6933
1811195,197.80925
1811205,189.3527
1811215,200.41006
1811225,185.84488
1811235,200.17665
1811245,220.41486
1811255,246.6933
1811265,180.52245
1811275,181.27402
1811285,186.0145
1811295,176.15433
1811305,199.1569
1812015,194.33359
1812025,224.23883
1812035,178.7454
1812045,191.49985
1812055,186.02534
1812065,172.98773
1812075,187.25677
1812085,194.4256
1812095,224.23883
1812105,176.63782
1812115,185.68681
1812125,176.4845
1812135,174.1848
1812145,178.1293
1812155,194.33359
1812165,227.52785
1812175,173.79932
1812185,185.68681
1812195,176.4845
1812205,174.1848
1812215,186.36328
1812225,190.61703
1812235,214.24529
1812245,215.28833
1812275,267.06607
1812285,264.4387
1812295,289.2441
1812305,292.0584
1812315,1303.6447
1901025,241.50421
1901035,226.95445
1901045,224.57173
1901055,260.6426
1901065,253.25871
1901075,203.6936
1901085,208.56473
1901095,206.76059
1901105,205.97847
1901115,222.86356
1901125,250.36136
1901135,259.7835
1901145,213.05232
1901155,208.42111
1901165,216.31679
1901175,205.97847
1901185,228.39426
1901195,260.6426
1901205,279.0282
1901215,213.24994
1901225,218.69398
1901235,218.69823
1901245,224.69662
1901255,230.44174
1901265,250.36136
1901275,260.79257
1901285,202.68188
1901295,214.05478
1901305,226.00021
1901315,205.97847
1902015,227.85924
1902025,245.76456
1902035,272.64267
1902045,201.26772
1902055,206.2273
1902065,204.80093
1902075,203.44942
1902085,220.35524
1902095,247.19754
1902105,258.10806
1902115,219.69867
1902125,215.95615
1902135,213.52234
1902145,213.52934
1902155,242.85577
1902165,272.10086
1902175,264.08688
1902185,216.20378
1902195,206.2273
1902205,213.52234
1902215,203.44942
1902225,227.26779
1902235,245.76456
1902245,272.64267
1902255,219.69867
1902265,219.53006
1902275,227.36362
1902285,213.52934
1903015,216.18619
1903025,244.95734
1903035,249.46564
1903045,197.82088
1903055,207.73283
1903065,200.38443
1903075,196.28116
1903085,228.48546
1903095,244.95734
1903105,244.06784
1903115,209.75203
1903125,200.69003
1903135,204.45732
1903145,194.5202
1903155,216.18619
1903165,247.16423
1903175,263.09952
1903185,209.75203
1903195,207.73283
1903215,204.87314
1903225,216.18619
1903235,253.80145
1903245,262.1382
1903255,209.75203
1903265,200.69003
1903275,200.38443
1903285,204.87314
1903295,228.70117
1903305,267.62457
1903315,262.1382
1904015,206.12941
1904025,217.54883
1904045,215.37466
1904055,256.20618
1904065,268.54556
1904075,256.79947
1904085,226.68668
1904095,232.47728
1904105,231.45224
1904115,215.37466
1904125,236.73074
1904135,245.6474
1904145,233.69725
1904155,226.68668
1904165,232.47728
1904175,244.92293
1904185,317.7133
1904205,346.86566
1904215,281.67413
1904225,274.0881
1904235,217.54883
1904245,225.2663
1904255,226.61441
1904265,234.32253
1904275,266.7886
1904285,242.93973
1904295,210.67026
1904305,221.82541
1905025,195.08598
1905035,212.07
1905045,250.813
1905055,251.27232
1905065,206.91565
1905075,200.04202
1905085,226.51776
1905095,231.12172
1905105,231.48737
1905115,265.418
1905125,251.27232
1905135,210.36194
1905145,223.3758
1905155,226.32693
1905165,232.77531
1905175,231.48737
1905185,265.01242
1905195,248.75447
1905205,210.8836
1905215,230.86508
1905225,227.125
1905235,225.24113
1905245,240.2419
1905255,268.64438
1905265,253.354
1905275,217.74011
1905285,223.3758
1905295,223.9945
1905305,292.89957
1905315,231.48737
1906015,297.06998
1906025,263.92343
1906035,225.1558
1906045,227.295
1906055,229.97427
1906065,243.16452
1906075,256.27942
1906085,297.06998
1906095,304.39407
1906105,278.17532
1906115,245.18295
1906125,243.42535
1906135,221.87549
1906145,258.28525
1906155,306.21262
1906165,259.66846
1906175,229.04666
1906185,210.8072
1906195,226.65393
1906205,239.71614
1906215,245.923
1906225,321.32108
1906235,268.89185
1906245,229.16245
1906255,217.173
1906265,232.11539
1906275,253.77406
1906285,251.4914
1906295,276.876
1906305,256.3342
1907015,272.6179
1907025,278.34293
1907035,284.9259
1907045,262.85934
1907055,266.58298
1907065,288.69986
1907075,292.08328
1907085,263.77225
1907095,267.40262
1907115,266.48785
1907125,266.58298
1907135,284.75082
1907145,287.53482
1907155,261.79037
1907165,273.39157
1907175,284.9259
1907185,255.36609
1907195,262.129
1907205,277.5016
1907215,289.7924
1907225,261.79037
1907235,261.30817
1907245,265.69858
1907255,232.90329
1907265,264.5164
1907275,287.76584
1907285,282.1142
1907295,238.02026
1907305,266.8529
