id,Umsatz
1811016,43.94124
1811026,44.80861
1811036,75.49837
1811046,54.460762
1811056,57.231167
1811066,50.960686
1811076,65.32184
1811086,57.30929
1811096,50.960686
1811106,58.599358
1811116,44.584896
1811126,44.80861
1811136,44.80861
1811146,51.949974
1811156,62.525387
1811166,62.50971
1811176,73.98157
1811186,53.181904
1811196,55.874172
1811206,55.68458
1811216,55.68458
1811226,55.68458
1811236,57.52304
1811246,71.26946
1811256,53.181904
1811266,77.55699
1811276,77.55699
1811286,78.79596
1811296,77.55699
1811306,76.92317
1812016,91.91358
1812026,80.148224
1812036,81.385864
1812046,92.77878
1812056,100.724655
1812066,85.83107
1812076,83.54207
1812086,95.52901
1812096,80.148224
1812106,83.62712
1812116,83.49547
1812126,83.49547
1812136,83.49547
1812146,88.71945
1812156,91.91358
1812166,81.77431
1812176,83.49547
1812186,83.49547
1812196,83.49547
1812206,83.49547
1812216,87.95469
1812226,94.06639
1812236,87.26649
1812246,65.05278
1812276,57.35018
1812286,57.35018
