id,Umsatz
1808015,299.15585
1808025,280.56516
1808035,284.6932
1808045,315.7151
1808055,340.1241
1808065,294.13907
1808075,274.57962
1808085,282.1859
1808095,298.01993
1808105,301.15637
1808115,344.15994
1808125,341.65106
1808135,293.38727
1808145,293.71643
1808155,298.30435
1808165,280.56516
1808175,312.16287
1808185,338.73233
1808195,343.65442
1808205,304.1322
1808215,286.61285
1808225,276.48367
1808235,295.15912
1808245,301.94107
1808255,355.69443
1808265,340.06033
1808275,298.40802
1808285,296.0612
1808295,290.9913
1808305,299.14957
1808315,303.56104
1809015,276.00684
1809025,277.53897
1809035,229.54726
1809045,235.62782
1809055,239.51833
1809065,243.43086
1809075,244.36598
1809085,280.8985
1809095,280.8653
1809105,229.44452
1809115,226.61142
1809125,236.74945
1809135,234.68236
1809145,243.85854
1809155,276.00684
1809165,278.97592
1809175,231.96626
1809185,235.67465
1809195,239.33716
1809205,232.84789
1809215,240.51987
1809225,276.00684
1809235,280.8653
1809245,229.44452
1809255,232.58374
1809265,239.61151
1809275,238.4348
1809285,243.85854
1809295,280.8985
1809305,278.97592
1810015,239.72366
1810025,226.41415
1810035,290.17886
1810045,240.96715
1810055,249.98691
1810065,278.45996
1810075,282.03345
1810085,242.24544
1810095,244.09886
1810105,242.48589
1810115,240.69395
1810125,253.03094
1810135,279.41556
1810145,286.912
1810155,238.64392
1810165,235.8914
1810175,245.52994
1810185,240.69395
1810195,249.98691
1810205,274.48187
1810215,277.6181
1810225,228.3042
1810235,227.88744
1810245,235.2048
1810255,234.2761
1810265,239.19028
1810275,268.41672
1810285,269.47702
1810295,214.35805
1810305,230.5665
1811015,211.45862
1811025,214.29929
1811035,238.77603
1811045,237.13872
1811055,217.04807
1811065,201.7644
1811075,219.89148
1811085,228.82031
1811095,208.63785
1811105,243.68576
1811115,242.99133
1811125,214.26346
1811135,208.52605
1811145,200.02583
1811155,211.45862
1811165,213.59657
1811175,238.77603
1811185,237.13872
1811195,197.89989
1811205,200.03276
1811215,200.02583
1811225,199.55832
1811235,206.85059
1811245,231.47453
1811255,237.13872
1811265,177.13354
1811275,183.02261
1811285,190.93668
1811295,181.96747
1811305,191.668
1812015,210.99731
1812025,220.93614
1812035,193.8265
1812045,198.4472
1812055,202.71843
1812065,187.96527
1812075,196.73817
1812085,213.94583
1812095,220.93614
1812105,187.45042
1812115,186.89117
1812125,187.30939
1812135,186.2543
1812145,191.27861
1812155,210.99731
1812165,220.65259
1812175,184.17732
1812185,186.89117
1812195,187.30939
1812205,186.2543
1812215,201.46985
1812225,217.23569
1812235,226.11838
1812245,229.25526
1812275,420.97318
1812285,425.12933
1812295,461.81177
1812305,472.03827
1812315,836.23395
1901025,237.03802
1901035,235.81784
1901045,239.22939
1901055,265.19357
1901065,267.38724
1901075,220.09406
1901085,221.11479
1901095,225.12482
1901105,218.2117
1901115,230.83289
1901125,263.31543
1901135,264.51337
1901145,219.90709
1901155,217.78174
1901165,221.01369
1901175,218.2117
1901185,235.98532
1901195,265.19357
1901205,267.59122
1901215,218.96819
1901225,227.72333
1901235,227.93787
1901245,222.81616
1901255,236.24504
1901265,263.31543
1901275,261.9714
1901285,216.4992
1901295,218.59845
1901305,227.92244
1901315,218.2117
1902015,234.07411
1902025,260.26553
1902035,267.6066
1902045,214.57079
1902055,215.26433
1902065,222.7841
1902075,216.04648
1902085,229.5542
1902095,261.88547
1902105,259.2558
1902115,217.31003
1902125,223.42151
1902135,218.49628
1902145,223.59158
1902155,238.28107
1902165,268.70828
1902175,271.6689
1902185,228.4397
1902195,215.26433
1902205,218.49628
1902215,216.04648
1902225,232.88452
1902235,260.26553
1902245,267.6066
1902255,217.31003
1902265,229.34814
1902275,231.1467
1902285,223.59158
1903015,225.29779
1903025,251.08527
1903035,250.89352
1903045,208.82024
1903055,218.57033
1903065,213.60788
1903075,221.72185
1903085,233.7341
1903095,251.08527
1903105,254.8724
1903115,212.48978
1903125,211.12671
1903135,216.18723
1903145,216.52118
1903155,225.29779
1903165,249.84996
1903175,260.2951
1903185,212.48978
1903195,218.57033
1903215,222.84583
1903225,225.29779
1903235,261.13364
1903245,260.1739
1903255,212.48978
1903265,211.12671
1903275,213.60788
1903285,222.84583
1903295,234.64899
1903305,260.34604
1903315,260.1739
1904015,217.93298
1904025,229.41006
1904045,227.24469
1904055,249.91718
1904065,274.98633
1904075,281.9637
1904085,227.04857
1904095,233.12912
1904105,235.18513
1904115,227.24469
1904125,242.68616
1904135,265.11514
1904145,269.5127
1904155,227.04857
1904165,233.12912
1904175,240.72026
1904185,333.58932
1904205,377.62845
1904215,321.0598
1904225,286.47357
1904235,229.41006
1904245,233.30058
1904255,229.67418
1904265,238.93362
1904275,273.81442
1904285,266.09607
1904295,226.5938
1904305,226.19318
1905025,217.36621
1905035,229.86273
1905045,263.5957
1905055,272.78665
1905065,218.498
1905075,222.74405
1905085,230.67871
1905095,233.8965
1905105,239.51892
1905115,270.66953
1905125,272.78665
1905135,227.97527
1905145,230.42174
1905155,230.1966
1905165,236.75854
1905175,239.51892
1905185,272.28946
1905195,274.2236
1905205,230.49704
1905215,222.20595
1905225,235.07321
1905235,228.4047
1905245,243.41699
1905255,275.7141
1905265,271.9389
1905275,229.99474
1905285,230.42174
1905295,232.0311
1905305,285.82986
1905315,239.51892
1906015,293.05035
1906025,284.70972
1906035,236.18408
1906045,240.53387
1906055,245.60797
1906065,262.59842
1906075,255.05725
1906085,293.05035
1906095,320.77457
1906105,292.56857
1906115,238.2515
1906125,248.12082
1906135,245.20476
1906145,251.98573
1906155,297.2923
1906165,292.9636
1906175,239.20938
1906185,225.2165
1906195,223.89804
1906205,249.80618
1906215,254.80405
1906225,318.30008
1906235,311.45786
1906245,270.71384
1906255,248.03412
1906265,245.58203
1906275,265.36316
1906285,274.90353
1906295,307.03723
1906305,288.6968
1907015,262.59167
1907025,265.38644
1907035,270.31177
1907045,272.0503
1907055,272.1475
1907065,298.40024
1907075,297.10507
1907085,267.74567
1907095,274.99747
1907115,269.02094
1907125,272.1475
1907135,304.55347
1907145,303.2583
1907155,270.77505
1907165,270.9792
1907175,270.31177
1907185,268.5327
1907195,292.30655
1907205,300.3209
1907215,300.18173
1907225,270.77505
1907235,262.60022
1907245,264.41605
1907255,271.20786
1907265,255.32854
1907275,307.93408
1907285,310.83545
1907295,255.34404
1907305,267.9583
