id,Umsatz
1808015,303.1454
1808025,280.98605
1808035,293.32993
1808045,318.8198
1808055,337.84363
1808065,297.36523
1808075,284.68207
1808085,286.89532
1808095,301.84402
1808105,311.7876
1808115,337.65198
1808125,338.4409
1808135,295.01678
1808145,298.47385
1808155,301.08002
1808165,280.98605
1808175,313.81387
1808185,341.53336
1808195,337.46698
1808205,294.5277
1808215,291.75232
1808225,274.48413
1808235,296.31744
1808245,304.0849
1808255,344.69022
1808265,338.7422
1808275,290.35794
1808285,293.25085
1808295,291.61978
1808305,291.37372
1808315,306.16977
1809015,277.33258
1809025,277.89987
1809035,229.47647
1809045,231.4455
1809055,234.88356
1809065,241.74419
1809075,248.51454
1809085,277.33258
1809095,279.96008
1809105,232.3068
1809115,230.27519
1809125,235.06334
1809135,236.65256
1809145,244.8076
1809155,277.33258
1809165,279.96008
1809175,233.7738
1809185,213.3837
1809195,233.01122
1809205,232.76852
1809215,242.8331
1809225,277.33258
1809235,278.51163
1809245,232.3068
1809255,234.27583
1809265,237.14821
1809275,237.67606
1809285,244.8076
1809295,279.05646
1809305,279.96008
1810015,240.39748
1810025,223.61594
1810035,286.81122
1810045,236.98169
1810055,252.89824
1810065,280.808
1810075,279.16714
1810085,241.86446
1810095,245.3005
1810105,244.26239
1810115,243.27621
1810125,250.06792
1810135,277.0931
1810145,283.0638
1810155,237.56715
1810165,236.05644
1810175,240.97672
1810185,243.27621
1810195,252.89824
1810205,276.08813
1810215,277.26715
1810225,231.31921
1810235,232.62729
1810245,236.04733
1810255,234.34668
1810265,241.5886
1810275,262.8022
1810285,261.32275
1810295,214.7246
1810305,234.71213
1811015,224.03284
1811025,220.85788
1811035,238.88437
1811045,235.84521
1811055,215.85257
1811065,201.09952
1811075,225.33467
1811085,231.40596
1811095,208.90782
1811105,253.98099
1811115,250.85495
1811125,213.62569
1811135,214.30077
1811145,198.73149
1811155,224.03284
1811165,213.60333
1811175,238.88437
1811185,235.84521
1811195,200.50124
1811205,198.92757
1811215,198.73149
1811225,201.88344
1811235,206.72069
1811245,238.47491
1811255,235.84521
1811265,176.15799
1811275,179.01733
1811285,182.71497
1811295,182.77197
